b | re-anchoring | The Proxy Platform (2011) | report-01-laundromat-canon.md
a | open-record-runnable | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
b | re-anchoring | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
c | leak-dependent by present-access effect; historically (a) | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
c | leak-dependent | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
c | leak-dependent | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
c | leak-dependent | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
c | leak-dependent | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
c | leak-dependent | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
c | leak-dependent | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
c | leak-dependent | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
c | leak-dependent | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
a | open-record-runnable | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
b | re-anchoring | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
b | re-anchoring | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
a | open-record-runnable | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
a | open-record-runnable | The Middle East Airlift (2016) | report-14-illicit-trade.md
a | open-record-runnable | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
a | open-record-runnable | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
c | leak-dependent/non-public-dependent | Going Undercover — Inside Baltic Tobacco's Smuggling Empire (2008) | report-14-illicit-trade.md
a | open-record-runnable | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
c | leak-dependent | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
a | open-record-runnable | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
a | open-record-runnable | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
c | leak-dependent | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
b | re-anchoring | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
a | open-record-runnable | The Worker (2020) | report-16-public-services.md
b | re-anchoring | The Minister (2020) | report-16-public-services.md
c | leak-dependent | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
a | open-record-runnable | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
a | open-record-runnable | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
a | open-record-runnable | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
b | re-anchoring | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
