shell-network convergence | The Proxy Platform (2011) | report-01-laundromat-canon.md
registry-route co-occurrence | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
communal balance-sheet | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
Threshold-engineered ownership | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
related-party control residue | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
proxy-capacity mismatch | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
Property-owner risk overlay | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
identity-hardening | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
tenure-state disambiguation | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
Procurement-to-property conversion | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
cross-jurisdiction portfolio assembly | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
rent-yield corroboration | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
Sanctions-response choreography | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
proxy-role reassignment | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
professional-enabler workflow | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
Loan-label laundering | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
document-to-ledger consistency test | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
freeze-resistant proxy title | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
State-ledger extraction | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
sectoral loss rollup | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
command-account fusion | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
Mandate-payment divergence | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
purpose-field void rate | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
signatory capture | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
Contact-identifier bridge | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
proceeds-to-asset trace | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
selector triangulation | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
Payer-over-title control | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
rescued-record reconstruction | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
claim-document contradiction | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
unauthorized-market seeding | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
free-zone route laundering | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
smuggler-customer overlap | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
documented-cargo substitution | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
corporate-insider facilitation | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
recipient-demand mismatch | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
smuggler-customer overlap | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
unlicensed-recipient concentration | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
duty-free diversion | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
regulator-silo failure | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
conflict-supply surge | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
end-use diversion | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
license-despite-diversion-risk | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
cargo-route anomaly | The Middle East Airlift (2016) | report-14-illicit-trade.md
carrier-risk recurrence | The Middle East Airlift (2016) | report-14-illicit-trade.md
military-destination concentration | The Middle East Airlift (2016) | report-14-illicit-trade.md
serialized-item provenance | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
end-use diversion | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
risk-warning reversal | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
production-absorption surplus | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
excise-gradient corridor | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
enforcement-capture gap | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
covert supplier intent | Going Undercover — Inside Baltic Tobacco's Smuggling Empire (2008) | report-14-illicit-trade.md
smuggler-only product | Going Undercover — Inside Baltic Tobacco's Smuggling Empire (2008) | report-14-illicit-trade.md
border-tolerance observation | Going Undercover — Inside Baltic Tobacco's Smuggling Empire (2008) | report-14-illicit-trade.md
corridor-as-marketplace | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
policy-friction exploitation | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
distributed-fee extraction | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
inventory-destination void | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
obsolescent-stock brokerage | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
conflict-market inference | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
liability dumping | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
identity-reuse fan-out | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
straw-person victimization | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
cross-border-sanction escape | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
warning-system non-use | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
disciplinary opacity | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
care-asset stripping | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
disclosure divergence | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
regulatory-threshold engineering | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
vendor-arrears service collapse | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
extraction-harm contrast | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
facility-level safety degradation | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
coercive-labor confinement | The Worker (2020) | report-16-public-services.md
victim-cohort reconstruction | The Worker (2020) | report-16-public-services.md
protection-agency indifference | The Worker (2020) | report-16-public-services.md
beneficial-owner procurement conflict | The Minister (2020) | report-16-public-services.md
post-notice payment continuation | The Minister (2020) | report-16-public-services.md
offshore accountability truncation | The Minister (2020) | report-16-public-services.md
hidden-health time-series deterioration | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
quantified-victim bridge | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
service-capacity cascade | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
justice-throughput gap | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
high-harm release anomaly | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
protection inversion | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
emergency-procurement opacity | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
unit-price dispersion | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
no-bid concentration | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
transparency missingness | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
coercion-risk supply chain | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
ethical-policy contradiction | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
public-stockpile contamination | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
emergency-middleman markup | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
advance-payment control failure | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
spec-to-delivery failure | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
