a | open-record-runnable | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
a | open-record-runnable | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
unassessed | -> | FinCEN Files: manual extraction won when language defeated automation | report-09-meta-methods.md
unassessed | -> | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
unassessed | -> | Pandora Papers: one leak, fourteen provider-specific data projects | report-09-meta-methods.md
a | open-record-runnable | Prophecies turns validation into a first-class application | report-09-meta-methods.md
unassessed | -> | Leak authentication is triangulation, not a single ritual | report-09-meta-methods.md
unassessed | -> | Source-to-claim distance controls confidence | report-09-meta-methods.md
unassessed | -> | Subject response is a pre-publication evidence channel | report-09-meta-methods.md
unassessed | -> | Fact-checking, editorial vetting, and legal review are separate gates | report-09-meta-methods.md
unassessed | -> | Corrections and complaints are visible but less systematized publicly | report-09-meta-methods.md
unassessed | -> | Dataset and document releases | report-09-meta-methods.md
unassessed | -> | Software APIs versus evidence APIs | report-09-meta-methods.md
a | open-record-runnable | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
a | open-record-runnable | How auditing firms help companies hide environmental damage and human rights abuses (2023) | report-12-extractives-environment.md
b | re-anchoring | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
d | closed-platform-dependent | The Mediterranean feeding frenzy (2010) | report-12-extractives-environment.md
a | open-record-runnable | Nearly €6 billion in subsidies fuel Spain’s ravenous fleet (2011) | report-12-extractives-environment.md
a | open-record-runnable | The hake hoax: cheaper fish sold as premium species in Spanish markets (2011) | report-12-extractives-environment.md
a | open-record-runnable | Lords of the fish (2012) | report-12-extractives-environment.md
c | leak-dependent | Peru’s vanishing fish (2012) | report-12-extractives-environment.md
c | leak-dependent | Water and politics: The fall of Suharto and Jakarta’s no-bid privatization (2003) | report-12-extractives-environment.md
a | open-record-runnable | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
a | open-record-runnable | The climate lobby from soup to nuts (2009) | report-12-extractives-environment.md
c | leak-dependent | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
c | leak-dependent | How China Targets Uighurs “One by One” for Using a Mobile App (2019) | report-13-conflict-repression.md
c | leak-dependent | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
b | re-anchoring | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
a | open-record-runnable | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
a | open-record-runnable | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
a | open-record-runnable | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
c | leak-dependent | Assad's Archive of Death (2025) | report-13-conflict-repression.md
b | re-anchoring | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
b | re-anchoring | The Merchant of Death (2002) | report-13-conflict-repression.md
a | open-record-runnable | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
c | leak-dependent | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
a | open-record-runnable | How the World Bank Broke Its Promise to Protect the Poor (2015) | report-15-aid-development-finance.md
b | re-anchoring | New Evidence Ties World Bank to Human Rights Abuses in Ethiopia (2015) | report-15-aid-development-finance.md
a | open-record-runnable | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
a | open-record-runnable | U.S.-Trained Forces Linked to Human Rights Abuses (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
b | re-anchoring | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
a | open-record-runnable | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
a | open-record-runnable | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
a | open-record-runnable | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
a | open-record-runnable | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
a | open-record-runnable | Contractors Write the Rules (2004; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
a | open-record-runnable | Exposed: How billions of cigarettes end up on black markets (2000) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | Global reach of tobacco company’s involvement in cigarette smuggling exposed in company papers (2000) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
b | re-anchoring | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
c | leak-dependent | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
a | open-record-runnable | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
