hidden-beneficial-ownership | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
disclosure-gap | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
public-private-conflict | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
deadline-adjacent-restructuring | Iceland’s prime minister and Wintris (2016) | report-01-offshore-leaks-canon.md
high-risk-client-servicing | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
compliance-knowledge-gap | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
compliance-after-the-fact | Mossack Fonseca’s sanctions and compliance behavior (2016) | report-01-offshore-leaks-canon.md
disclosure-gap | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
hidden-beneficial-ownership | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
registry-opacity-as-control-failure | Bahamas Leaks (2016) | report-01-offshore-leaks-canon.md
intermediary-enablement | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
compliance-knowledge-gap | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
corporate-profit-shifting | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
networked-asset-concealment | Paradise Papers (2017) | report-01-offshore-leaks-canon.md
compliance-knowledge-gap | Appleby’s repeated compliance failures (2017) | report-01-offshore-leaks-canon.md
repeat-control-failure | Appleby’s repeated compliance failures (2017) | report-01-offshore-leaks-canon.md
intermediary-enablement | Appleby’s repeated compliance failures (2017) | report-01-offshore-leaks-canon.md
public-private-conflict | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
disclosure-gap | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
hidden-counterparty-exposure | Wilbur Ross, Navigator and Sibur (2017) | report-01-offshore-leaks-canon.md
policy-arbitrage | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
corporate-profit-shifting | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
rule-change-migration | Apple’s post-Ireland island hop (2017) | report-01-offshore-leaks-canon.md
corporate-profit-shifting | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
letterbox-substance-gap | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
policy-arbitrage | Nike’s royalty conduit and the substance test (2017) | report-01-offshore-leaks-canon.md
corpus-relocalization | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
letterbox-substance-gap | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
corporate-profit-shifting | West Africa Leaks (2018) | report-01-offshore-leaks-canon.md
treaty-shopping | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
corporate-profit-shifting | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
letterbox-substance-gap | Mauritius Leaks (2019) | report-01-offshore-leaks-canon.md
state-asset-conversion | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
public-private-conflict | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
intermediary-enablement | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
deadline-adjacent-restructuring | Luanda Leaks (2020) | report-01-offshore-leaks-canon.md
high-risk-client-servicing | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
compliance-knowledge-gap | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
enforcement-recidivism | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
correspondent-opacity | FinCEN Files (2020) | report-01-offshore-leaks-canon.md
enforcement-recidivism | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
high-risk-client-servicing | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
warning-to-action-lag | HSBC and the WCM Ponzi network (2020) | report-01-offshore-leaks-canon.md
formation-factory | Britain’s shell-company factories (2020) | report-01-offshore-leaks-canon.md
correspondent-opacity | Britain’s shell-company factories (2020) | report-01-offshore-leaks-canon.md
cross-ledger-mismatch | Britain’s shell-company factories (2020) | report-01-offshore-leaks-canon.md
networked-asset-concealment | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
state-asset-conversion | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
flow-to-asset-conversion | Kolomoisky’s U.S. property trail (2020) | report-01-offshore-leaks-canon.md
hidden-beneficial-ownership | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
intermediary-enablement | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
elite-cohort-penetration | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
compliance-after-the-fact | Pandora Papers (2021) | report-01-offshore-leaks-canon.md
networked-asset-concealment | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
portfolio-reconstruction | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
public-private-conflict | King Abdullah’s 14 hidden homes (2021) | report-01-offshore-leaks-canon.md
disclosure-gap | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
networked-asset-concealment | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
self-financing-loop | Andrej Babiš’s French estate chain (2021) | report-01-offshore-leaks-canon.md
jurisdictional-risk-migration | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
high-risk-client-servicing | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
elite-cohort-penetration | South Dakota’s foreign trust vault (2021) | report-01-offshore-leaks-canon.md
elite-cohort-penetration | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
intermediary-enablement | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
compliance-after-the-fact | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
warning-to-action-lag | Alcogal’s politician-heavy client book and late SARs (2021) | report-01-offshore-leaks-canon.md
jurisdictional-risk-migration | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
high-risk-client-servicing | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
intermediary-enablement | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
elite-cohort-penetration | Cyprus Confidential (2023) | report-01-offshore-leaks-canon.md
deadline-adjacent-restructuring | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
sanctions-evasion-risk | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
high-risk-client-servicing | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
compliance-knowledge-gap | PwC and Mordashov’s $1.4 billion TUI transfer (2023) | report-01-offshore-leaks-canon.md
deadline-adjacent-restructuring | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
sanctions-evasion-risk | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
intermediary-enablement | Petr Aven’s same-day $5 million payment (2023) | report-01-offshore-leaks-canon.md
cross-ledger-mismatch | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
networked-asset-concealment | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
off-books-benefit | Abramovich’s hidden Chelsea payments (2023) | report-01-offshore-leaks-canon.md
flow-to-asset-conversion | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
letterbox-substance-gap | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
state-linked-benefit | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
regulator-override | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
Disclosure-footprint gap | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
Assurance-conduct contradiction | How auditing firms help companies hide environmental damage and human rights abuses (2023) | report-12-extractives-environment.md
Intermediary sanctions bypass | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
Assurance-conduct contradiction | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
Paper-chain laundering | The Mediterranean feeding frenzy (2010) | report-12-extractives-environment.md
Public-aid recidivism | Nearly €6 billion in subsidies fuel Spain’s ravenous fleet (2011) | report-12-extractives-environment.md
Label-substance mismatch | The hake hoax: cheaper fish sold as premium species in Spanish markets (2011) | report-12-extractives-environment.md
Fragmented-rights concentration | Lords of the fish (2012) | report-12-extractives-environment.md
Process-stage shrinkage | Peru’s vanishing fish (2012) | report-12-extractives-environment.md
Concession capture | Water and politics: The fall of Suharto and Jakarta’s no-bid privatization (2003) | report-12-extractives-environment.md
Conflict-commodity laundering | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
Policy-delay lobbying | The climate lobby from soup to nuts (2009) | report-12-extractives-environment.md
coercive-rulebook exposure | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
algorithm-to-custody pipeline | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
euphemism-record contradiction | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
identity-proxy targeting | How China Targets Uighurs “One by One” for Using a Mobile App (2019) | report-13-conflict-repression.md
selector-scale repression | How China Targets Uighurs “One by One” for Using a Mobile App (2019) | report-13-conflict-repression.md
repression-playbook replication | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
family-hostage coercion | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
host-state protection gap | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
international-warrant weaponization | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
accusation-purpose mismatch | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
remedy-capacity gap | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
state-proxy civil society | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
speaking-slot capture | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
accreditation-integrity gap | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
vulnerability-as-isolation trigger | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
civil-detention punishment | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
policy-practice divergence | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
asylum-warrant contradiction | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
authoritarian-trust laundering | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
unreviewed-alert propagation | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
bureaucratized-atrocity archive | Assad's Archive of Death (2025) | report-13-conflict-repression.md
victim-identity recovery | Assad's Archive of Death (2025) | report-13-conflict-repression.md
official-cause-of-death falsification | Assad's Archive of Death (2025) | report-13-conflict-repression.md
aid-to-repressor flow | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
concealed-state ownership | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
warning-to-renewal failure | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
asset-identity laundering | The Merchant of Death (2002) | report-13-conflict-repression.md
embargo-evasion network | The Merchant of Death (2002) | report-13-conflict-repression.md
dual-use legitimacy shield | The Merchant of Death (2002) | report-13-conflict-repression.md
war-by-proxy procurement | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
revolving-door war commerce | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
oversight fragmentation | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
conviction-perpetrator divergence | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
unprosecuted-conspiracy graph | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
investigative-silo failure | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
safeguard-performance-gap | How the World Bank Broke Its Promise to Protect the Poor (2015) | report-15-aid-development-finance.md
administrative-undercount | How the World Bank Broke Its Promise to Protect the Poor (2015) | report-15-aid-development-finance.md
fungible-aid-diversion | New Evidence Ties World Bank to Human Rights Abuses in Ethiopia (2015) | report-15-aid-development-finance.md
safeguard-performance-gap | New Evidence Ties World Bank to Human Rights Abuses in Ethiopia (2015) | report-15-aid-development-finance.md
conditionality-misalignment | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
administrative-undercount | Bush's AIDS Initiative: Too Little Choice, Too Much Ideology (2006) | report-15-aid-development-finance.md
security-assistance-harm-chain | U.S.-Trained Forces Linked to Human Rights Abuses (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
trusted-intermediary-betrayal | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
security-assistance-harm-chain | U.S. Shrugged Off Corruption, Abuse in Service of Drug War (2001; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
program-vehicle-arbitrage | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
security-assistance-harm-chain | U.S. Hands Out Vast Sums of Money While Ignoring Human Rights Records (2007) | report-15-aid-development-finance.md
influence-aid-sequence | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
security-assistance-harm-chain | Ethiopia Reaps U.S. Aid by Enlisting in War on Terror and Hiring Influential Lobbyists (2007) | report-15-aid-development-finance.md
conflict-procurement-concentration | U.S. Contractors Reap the Windfalls of Post-War Reconstruction (2003; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
opaque-vendor-bucket | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
administrative-undercount | Baghdad Bonanza (2007 update; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
rule-writer-beneficiary-conflict | Contractors Write the Rules (2004; ICIJ archive page dated 2012) | report-15-aid-development-finance.md
coded-channel-governance | Exposed: How billions of cigarettes end up on black markets (2000) | report-17-lobbying-regulatory-capture.md
illicit-channel-as-market-strategy | Exposed: How billions of cigarettes end up on black markets (2000) | report-17-lobbying-regulatory-capture.md
route-portfolio-governance | Global reach of tobacco company’s involvement in cigarette smuggling exposed in company papers (2000) | report-17-lobbying-regulatory-capture.md
intermediary-deniability | Global reach of tobacco company’s involvement in cigarette smuggling exposed in company papers (2000) | report-17-lobbying-regulatory-capture.md
capacity-without-lawful-market | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
contraband-brand-by-design | Made To Be Smuggled (2008) | report-17-lobbying-regulatory-capture.md
supply-demand-black-hole | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
price-gradient-smuggling | Ukraine’s “Lost” Cigarettes Flood Europe (2009) | report-17-lobbying-regulatory-capture.md
campaign-portability | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
policy-delay-by-multipronged-pressure | The tobacco lobby goes global (2012) | report-17-lobbying-regulatory-capture.md
regulator-seat-capture | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
revolving-door-rulemaking | Moscow’s open, revolving door for big tobacco (2012) | report-17-lobbying-regulatory-capture.md
permission-after-entry | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
undisclosed-access-machine | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
enforcement-obstruction-playbook | How Uber won access to world leaders, deceived investigators and exploited violence against its drivers (2022) | report-17-lobbying-regulatory-capture.md
political-investor-conduit | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
equity-for-access | Uber forged deals with top Putin allies in failed bid to break into Russian market (2022) | report-17-lobbying-regulatory-capture.md
patent-thicket-price-defense | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
regulatory-shortcut-monetization | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
opaque-price-segmentation | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
prescriber-influence-spend | How Merck turned its wonder drug into a blockbuster — and priced out cancer patients worldwide (2026) | report-17-lobbying-regulatory-capture.md
litigation-gated-access | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
adjudication-as-coverage-protocol | “They deny the medication that is keeping you alive”: Patients wage grueling legal battles for lifesaving cancer drug (2026) | report-17-lobbying-regulatory-capture.md
