Portcullis TrustNet provider database | Offshore Leaks (2013) | report-01-offshore-leaks-canon.md
Eswatini FIU records | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
corporate registries | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
bank-licensing records | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
economic-zone records | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
court records | Swazi Secrets (2024) | report-01-offshore-leaks-canon.md
Extract | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Apache Tika | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Redis | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Tesseract | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Solr | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Blacklight | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Amazon Web Services | Extract: turn heterogeneous files into text at leak scale | report-09-meta-methods.md
Datashare | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
Elasticsearch | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
SQLite | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
CoreNLP | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
OpenNLP | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
Apache Tika | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
Tesseract | Datashare: self-hosted corpus search rather than a hosted evidence custodian | report-09-meta-methods.md
Datashare NER | Named entities are candidate pivots, not verified identities | report-09-meta-methods.md
Offshore Leaks Database | Named entities are candidate pivots, not verified identities | report-09-meta-methods.md
Datashare batch search | Batch search makes hypothesis lists reproducible | report-09-meta-methods.md
Elasticsearch | Batch search makes hypothesis lists reproducible | report-09-meta-methods.md
Datashare | Scaling is observable and separable | report-09-meta-methods.md
Elasticsearch | Scaling is observable and separable | report-09-meta-methods.md
task runner | Scaling is observable and separable | report-09-meta-methods.md
ICIJ GitHub repositories | Public repository map | report-09-meta-methods.md
Datashare | Public repository map | report-09-meta-methods.md
Extract | Public repository map | report-09-meta-methods.md
Neo4j extension | Public repository map | report-09-meta-methods.md
Tarentula | Public repository map | report-09-meta-methods.md
Prophecies | Public repository map | report-09-meta-methods.md
ICIJ MAUDE | Public repository map | report-09-meta-methods.md
Offshore Leaks Database | The graph model preserves investigative roles | report-09-meta-methods.md
Neo4j | The graph model preserves investigative roles | report-09-meta-methods.md
Offshore Leaks provider databases | Provider-specific reverse engineering precedes normalization | report-09-meta-methods.md
Offshore Leaks Database | Provider-specific reverse engineering precedes normalization | report-09-meta-methods.md
Google Maps geocoding | Provider-specific reverse engineering precedes normalization | report-09-meta-methods.md
Offshore Leaks CSV/Neo4j releases | Public release is deliberately narrower than the leak | report-09-meta-methods.md
Offshore Leaks reconciliation API | Public release is deliberately narrower than the leak | report-09-meta-methods.md
Offshore Leaks Database release history | Updates are investigation-triggered and vintage-specific, not periodic | report-09-meta-methods.md
Offshore Leaks search gate | Caveat discipline is part of the interface | report-09-meta-methods.md
Offshore Leaks disclaimer | Caveat discipline is part of the interface | report-09-meta-methods.md
Offshore Leaks FAQ correction log | Correction, pruning, and takedown are distinct | report-09-meta-methods.md
ICIJ complaints process | Correction, pruning, and takedown are distinct | report-09-meta-methods.md
DMCA process | Correction, pruning, and takedown are distinct | report-09-meta-methods.md
Global I-Hub | “Radical sharing” reverses newsroom default incentives | report-09-meta-methods.md
Datashare | “Radical sharing” reverses newsroom default incentives | report-09-meta-methods.md
Global I-Hub | Global I-Hub is the secure virtual newsroom | report-09-meta-methods.md
Oxwall | Global I-Hub is the secure virtual newsroom | report-09-meta-methods.md
Datashare | Global I-Hub is the secure virtual newsroom | report-09-meta-methods.md
Global I-Hub onboarding | Partners are vetted for behavior as well as skill | report-09-meta-methods.md
partner agreements | Partners are vetted for behavior as well as skill | report-09-meta-methods.md
Global I-Hub | Embargoes are contractual coordination infrastructure | report-09-meta-methods.md
embargo agreements | Embargoes are contractual coordination infrastructure | report-09-meta-methods.md
publication calendar | Embargoes are contractual coordination infrastructure | report-09-meta-methods.md
Global I-Hub | Multilingual fact-checking is federated | report-09-meta-methods.md
Datashare | Multilingual fact-checking is federated | report-09-meta-methods.md
Prophecies | Multilingual fact-checking is federated | report-09-meta-methods.md
Global I-Hub | What is a tool and what is a human capability | report-09-meta-methods.md
Datashare | What is a tool and what is a human capability | report-09-meta-methods.md
Prophecies | What is a tool and what is a human capability | report-09-meta-methods.md
Extract | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Apache Tika | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Tesseract | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Solr | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Blacklight | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Talend | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Neo4j | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
Linkurious | Panama Papers: two pipelines, one reporting surface | report-09-meta-methods.md
FDA MAUDE | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
Talend | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
Microsoft SQL Server | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
R | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
Snorkel | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
ICIJ MAUDE | Implant Files: text classification with explicit abstention | report-09-meta-methods.md
FinCEN suspicious activity reports | FinCEN Files: manual extraction won when language defeated automation | report-09-meta-methods.md
SQL/Python extraction | FinCEN Files: manual extraction won when language defeated automation | report-09-meta-methods.md
Neo4j | FinCEN Files: manual extraction won when language defeated automation | report-09-meta-methods.md
Linkurious | FinCEN Files: manual extraction won when language defeated automation | report-09-meta-methods.md
Datashare | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
Apertium | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
Talend | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
Neo4j | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
Linkurious | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
Quartz AI Studio | Luanda Leaks: multilingual corpus plus selected machine assistance | report-09-meta-methods.md
Pandora provider databases | Pandora Papers: one leak, fourteen provider-specific data projects | report-09-meta-methods.md
Python | Pandora Papers: one leak, fourteen provider-specific data projects | report-09-meta-methods.md
Fonduer | Pandora Papers: one leak, fourteen provider-specific data projects | report-09-meta-methods.md
scikit-learn | Pandora Papers: one leak, fourteen provider-specific data projects | report-09-meta-methods.md
public risk lists | Pandora Papers: one leak, fourteen provider-specific data projects | report-09-meta-methods.md
Prophecies | Prophecies turns validation into a first-class application | report-09-meta-methods.md
Datashare | Prophecies turns validation into a first-class application | report-09-meta-methods.md
passport computer-vision service | Prophecies turns validation into a first-class application | report-09-meta-methods.md
Datashare | Leak authentication is triangulation, not a single ritual | report-09-meta-methods.md
Offshore Leaks Database | Leak authentication is triangulation, not a single ritual | report-09-meta-methods.md
official corporate/regulatory/court records | Leak authentication is triangulation, not a single ritual | report-09-meta-methods.md
Datashare provenance layers | Source-to-claim distance controls confidence | report-09-meta-methods.md
Offshore Leaks Database | Source-to-claim distance controls confidence | report-09-meta-methods.md
model-validation records | Source-to-claim distance controls confidence | report-09-meta-methods.md
ICIJ subject-response workflow | Subject response is a pre-publication evidence channel | report-09-meta-methods.md
Global I-Hub | Subject response is a pre-publication evidence channel | report-09-meta-methods.md
Prophecies | Fact-checking, editorial vetting, and legal review are separate gates | report-09-meta-methods.md
Global I-Hub | Fact-checking, editorial vetting, and legal review are separate gates | report-09-meta-methods.md
claim and review records | Fact-checking, editorial vetting, and legal review are separate gates | report-09-meta-methods.md
ICIJ complaints channel | Corrections and complaints are visible but less systematized publicly | report-09-meta-methods.md
Offshore Leaks FAQ | Corrections and complaints are visible but less systematized publicly | report-09-meta-methods.md
article correction notes | Corrections and complaints are visible but less systematized publicly | report-09-meta-methods.md
ICIJ FinCEN transaction dataset | Dataset and document releases | report-09-meta-methods.md
International Medical Devices Database | Dataset and document releases | report-09-meta-methods.md
Solitary Voices dataset | Dataset and document releases | report-09-meta-methods.md
Luanda Leaks company network | Dataset and document releases | report-09-meta-methods.md
LuxLeaks Datashare | Dataset and document releases | report-09-meta-methods.md
Datashare REST API | Software APIs versus evidence APIs | report-09-meta-methods.md
Prophecies API | Software APIs versus evidence APIs | report-09-meta-methods.md
Offshore Leaks reconciliation API | Software APIs versus evidence APIs | report-09-meta-methods.md
ASX issuer filings | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
SNL Metals & Mining | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
InfoMine | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
Investogain | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
mining-license records | Australian mining companies digging a deadly footprint in Africa (2015) | report-12-extractives-environment.md
FSC certification registry | How auditing firms help companies hide environmental damage and human rights abuses (2023) | report-12-extractives-environment.md
PEFC certification registry | How auditing firms help companies hide environmental damage and human rights abuses (2023) | report-12-extractives-environment.md
Orbis | How auditing firms help companies hide environmental damage and human rights abuses (2023) | report-12-extractives-environment.md
EU forestry monitoring reports | How auditing firms help companies hide environmental damage and human rights abuses (2023) | report-12-extractives-environment.md
Myanmar tax records | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
ImportGenius | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
UN Comtrade | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
U.S. sanctions list | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
U.K. sanctions list | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
EU sanctions list | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
Myanmar company records | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
FSC certification registry | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
PEFC certification registry | Companies are importing teak from Myanmar despite sanctions and military rule (2023) | report-12-extractives-environment.md
ICCAT Bluefin Catch Document database | The Mediterranean feeding frenzy (2010) | report-12-extractives-environment.md
ICCAT quota and scientific records | The Mediterranean feeding frenzy (2010) | report-12-extractives-environment.md
Spanish subsidy and gazette records | Nearly €6 billion in subsidies fuel Spain’s ravenous fleet (2011) | report-12-extractives-environment.md
fishing-vessel and ownership registries | Nearly €6 billion in subsidies fuel Spain’s ravenous fleet (2011) | report-12-extractives-environment.md
court and enforcement records | Nearly €6 billion in subsidies fuel Spain’s ravenous fleet (2011) | report-12-extractives-environment.md
retail sample ledger | The hake hoax: cheaper fish sold as premium species in Spanish markets (2011) | report-12-extractives-environment.md
GenBank genetic reference database | The hake hoax: cheaper fish sold as premium species in Spanish markets (2011) | report-12-extractives-environment.md
laboratory test records | The hake hoax: cheaper fish sold as premium species in Spanish markets (2011) | report-12-extractives-environment.md
Chilean quota reports | Lords of the fish (2012) | report-12-extractives-environment.md
official gazette notices | Lords of the fish (2012) | report-12-extractives-environment.md
securities filings | Lords of the fish (2012) | report-12-extractives-environment.md
scientific catch advice | Lords of the fish (2012) | report-12-extractives-environment.md
Peruvian landing database | Peru’s vanishing fish (2012) | report-12-extractives-environment.md
2009 scale-inspection report | Peru’s vanishing fish (2012) | report-12-extractives-environment.md
quota and ownership records | Peru’s vanishing fish (2012) | report-12-extractives-environment.md
official fish-price records | Peru’s vanishing fish (2012) | report-12-extractives-environment.md
Jakarta concession contracts | Water and politics: The fall of Suharto and Jakarta’s no-bid privatization (2003) | report-12-extractives-environment.md
World Bank project database | Water and politics: The fall of Suharto and Jakarta’s no-bid privatization (2003) | report-12-extractives-environment.md
PAM Jaya performance and tariff records | Water and politics: The fall of Suharto and Jakarta’s no-bid privatization (2003) | report-12-extractives-environment.md
corporate filings | Water and politics: The fall of Suharto and Jakarta’s no-bid privatization (2003) | report-12-extractives-environment.md
Colombian mining licenses | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
tax export forms | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
seizure records | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
U.S. Treasury Kingpin designations | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
court records | Colombia’s black-market coltan tied to drug traffickers and paramilitaries (2012) | report-12-extractives-environment.md
U.S. lobbying disclosures | The climate lobby from soup to nuts (2009) | report-12-extractives-environment.md
Canadian Lobbying Registry | The climate lobby from soup to nuts (2009) | report-12-extractives-environment.md
campaign-finance records | The climate lobby from soup to nuts (2009) | report-12-extractives-environment.md
successive climate-bill versions | The climate lobby from soup to nuts (2009) | report-12-extractives-environment.md
China Cables directives | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
IJOP bulletins | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
satellite camp records | Exposed: China's Operating Manuals for Mass Internment and Arrest by Algorithm (2019) | report-13-conflict-repression.md
IJOP bulletin | How China Targets Uighurs “One by One” for Using a Mobile App (2019) | report-13-conflict-repression.md
Zapya case records | How China Targets Uighurs “One by One” for Using a Mobile App (2019) | report-13-conflict-repression.md
mobile-forensics procurement records | How China Targets Uighurs “One by One” for Using a Mobile App (2019) | report-13-conflict-repression.md
China Targets case matrix | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
court and police records | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
parliamentary inquiries | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
cyber-threat advisories | Inside China's Machinery of Repression—and How It Crushes Dissent Around the World (2025) | report-13-conflict-repression.md
Interpol Red Notices | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
CCF decisions | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
French extradition records | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
Interpol annual reports | Case Involving Alibaba's Jack Ma Shows How China Weaponizes Interpol (2025) | report-13-conflict-repression.md
ECOSOC NGO database | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
U.N. Human Rights Council speaker lists | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
NGO accreditation applications | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
archived organization websites | At the UN, China Is Deploying a Growing Army of Puppet Organizations to Monitor and Intimidate Human Rights Activists (2025) | report-13-conflict-repression.md
ICE segregation logs | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
Solitary Voices CSV | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
ICE directives | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
DHS inspection and audit reports | Thousands of Immigrants Suffer in U.S. Solitary Confinement (2019) | report-13-conflict-repression.md
Interpol public Red Notice roster | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
Freedom House indices | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
Transparency International indices | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
court and asylum records | Interpol's Red Notices Used by Some to Pursue Political Dissenters, Opponents (2011) | report-13-conflict-repression.md
Damascus Dossier archive | Assad's Archive of Death (2025) | report-13-conflict-repression.md
file metadata | Assad's Archive of Death (2025) | report-13-conflict-repression.md
Arabic OCR | Assad's Archive of Death (2025) | report-13-conflict-repression.md
arrest and death records | Assad's Archive of Death (2025) | report-13-conflict-repression.md
U.N. procurement data | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
Shorouk internal records | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
human-rights and sanctions records | UN Paid $11M to Assad-Linked Syrian Security Firm, Documents Show (2025) | report-13-conflict-repression.md
corporate registries | The Merchant of Death (2002) | report-13-conflict-repression.md
aircraft registries | The Merchant of Death (2002) | report-13-conflict-repression.md
U.N. embargo-panel reports | The Merchant of Death (2002) | report-13-conflict-repression.md
sanctions and flight records | The Merchant of Death (2002) | report-13-conflict-repression.md
defense procurement records | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
GAO audits | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
State Department export-license files | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
corporate and lobbying records | Privatizing Combat, the New World Order (2002) | report-13-conflict-repression.md
Pakistani court and police records | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
FBI and State Department files | The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl (2011; ICIJ edition 2012) | report-13-conflict-repression.md
