priority_group,bucket,finding_id,target_name,claim_type,confidence,evidence_type,evidence_ref,docsdb_status,suggested_action,summary
high,canonical-but-missing-quote,159,Lawrence Summers,direct_quote,medium,efta,EFTA02731420,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Pilot Larry Visoki testified under oath that Lawrence Summers was a passenger on Epstein's private aircraft alongside other notable figures including Bill Clinton, Prince Andrew, Ehud Barak, and Kevin Spacey. A separate testimony document (EFTA02731420, marked CONFIDENTIAL FOR ATTORNEY'S EYES ONLY) contains a victim statement: 'Both he and Larry Summers are fucking disgusting\!' A related document (EFTA02731721) contains a statement from attorney Jeanne M. Christensen referencing a victim who 'knew Dana Chasin and that is how was flown to NYC the first time (where she had sex with Larry Summers). At a later date, flew with [redacted] and Dana Chasin somewhere else.' These are uncorroborated victim statements from litigation documents. Require independent verification before drawing conclusions."
high,canonical-but-missing-quote,161,Lawrence Summers,direct_quote,confirmed,efta,EFTA01930111,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Summers had extensive Kazakhstan consulting engagement brokered by Epstein (2014-2015). Key evidence: (1) Apr 6, 2014: Summers sent Epstein a draft assessment: 'Kazakhstan faces critical financial and economic challenges' with instruction 'feel free to edit' (EFTA01930265); (2) Mar 21, 2014: Summers wrote to Kazakh official Kairat (Kelimbetov): 'I greatly enjoyed all our conversations yesterday. I think your country is lucky to have u in place' (EFTA01930111); (3) Aug 18, 2015: Summers asked Epstein 'Kazakh. They have gone quiet. What s up?' (EFTA02377503); (4) Sep 23, 2015: Nurlan (Kussainov, Deputy) wrote to Summers about Dr. Kelimbetov's schedule; (5) FedEx tracking shows physical packages sent from Epstein (457 Madison Ave FL 4) to Summers at Harvard (Office of the President). This demonstrates Epstein managed Summers's sovereign advisory business with Kazakhstan, including editing policy documents."
high,canonical-but-missing-quote,161,Lawrence Summers,direct_quote,confirmed,efta,EFTA01930265,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Summers had extensive Kazakhstan consulting engagement brokered by Epstein (2014-2015). Key evidence: (1) Apr 6, 2014: Summers sent Epstein a draft assessment: 'Kazakhstan faces critical financial and economic challenges' with instruction 'feel free to edit' (EFTA01930265); (2) Mar 21, 2014: Summers wrote to Kazakh official Kairat (Kelimbetov): 'I greatly enjoyed all our conversations yesterday. I think your country is lucky to have u in place' (EFTA01930111); (3) Aug 18, 2015: Summers asked Epstein 'Kazakh. They have gone quiet. What s up?' (EFTA02377503); (4) Sep 23, 2015: Nurlan (Kussainov, Deputy) wrote to Summers about Dr. Kelimbetov's schedule; (5) FedEx tracking shows physical packages sent from Epstein (457 Madison Ave FL 4) to Summers at Harvard (Office of the President). This demonstrates Epstein managed Summers's sovereign advisory business with Kazakhstan, including editing policy documents."
high,canonical-but-missing-quote,259,Jeffrey Epstein,direct_quote,confirmed,efta,EFTA01941232,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Epstein offered Putin strategic advice on digital currencies via Jagland: 'you can explain to putin, that there should be a sophisticated russian version of bitcoin. it would be the most...' (Jan 19, 2014, EFTA01941232). Also instructed Jagland to 'talk to putin re digital currencies. the future' (Oct 17, 2017, EFTA02582131). This suggests Epstein was positioning himself as a financial/technology advisor to the Kremlin."
high,canonical-but-missing-quote,540,Fortress Value Recovery Fund,direct_quote,confirmed,efta,EFTA01299431,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","DB Zwirn Special Opportunities Fund LP became Fortress Value Recovery Fund I LLC after Daniel Zwirn's fund collapsed. The transformation is documented across multiple emails: (1) EFTA01299431 shows distribution allocation from DB Zwirn Special Opportunities to Jeepers Inc via Pershing LLC, with notation 'DISTRIBUTION ALLOCATION FOR FORTRESS VALUE RECOVERY' (dated Feb 2014). (2) EFTA02445535: Harry Beller forwarded DB Zwirn 2008 audited financial statements from 'Fortress VRF Investor Relations' to Groff (Dec 2009). (3) EFTA02339396: Attorney notified Epstein about 'Fortress VERF I LLC & Fortress Value Recovery vs Jeepers' litigation, noting receipt of Epstein's deposition transcript from Susman (April 2011). (4) EFTA02349170: Richard Kahn forwarded 'Fortress Value Recovery Fund I LLC - Investor Communication' to Epstein, noting 'Jeepers has received...' (June 2015). (5) EFTA02447520: Fortress Value Recovery Fund I LLC distribution forwarded by Kahn, Epstein replied 'send' (Oct 2016). The LMSBAND entity for DB Zwirn structure (EFTA01300517): 'dsam was LP of DB Zwirn & Co LP which was investment manager of the fund. dsam was also member of DB Zwirn Partners LLC the fund general partner, and a member of DBZ GP LLC which was the managing member of DB...' Fortress Investment Group absorbed the Zwirn fund's remaining assets for wind-down."
high,canonical-but-missing-quote,540,Fortress Value Recovery Fund,direct_quote,confirmed,efta,EFTA01300517,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","DB Zwirn Special Opportunities Fund LP became Fortress Value Recovery Fund I LLC after Daniel Zwirn's fund collapsed. The transformation is documented across multiple emails: (1) EFTA01299431 shows distribution allocation from DB Zwirn Special Opportunities to Jeepers Inc via Pershing LLC, with notation 'DISTRIBUTION ALLOCATION FOR FORTRESS VALUE RECOVERY' (dated Feb 2014). (2) EFTA02445535: Harry Beller forwarded DB Zwirn 2008 audited financial statements from 'Fortress VRF Investor Relations' to Groff (Dec 2009). (3) EFTA02339396: Attorney notified Epstein about 'Fortress VERF I LLC & Fortress Value Recovery vs Jeepers' litigation, noting receipt of Epstein's deposition transcript from Susman (April 2011). (4) EFTA02349170: Richard Kahn forwarded 'Fortress Value Recovery Fund I LLC - Investor Communication' to Epstein, noting 'Jeepers has received...' (June 2015). (5) EFTA02447520: Fortress Value Recovery Fund I LLC distribution forwarded by Kahn, Epstein replied 'send' (Oct 2016). The LMSBAND entity for DB Zwirn structure (EFTA01300517): 'dsam was LP of DB Zwirn & Co LP which was investment manager of the fund. dsam was also member of DB Zwirn Partners LLC the fund general partner, and a member of DBZ GP LLC which was the managing member of DB...' Fortress Investment Group absorbed the Zwirn fund's remaining assets for wind-down."
high,canonical-but-missing-quote,541,Marc Rowan,direct_quote,high,efta,EFTA02730996,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Marc Rowan (Apollo Global co-founder) personally introduced Epstein to Perry Shwachman (Partner, Sidley Austin LLP) in the context of 'Liquid Funding' (EFTA02454291, Aug 2016). Rowan wrote: 'I will leave it to the two of you to discuss directly.' Shwachman then contacted Epstein about 'potential new USVI insurance regulations' (EFTA02361689, Aug 2016). This reveals Rowan was actively brokering connections for Epstein well after Epstein's 2008 conviction. The 'Liquid Funding' context appears on FTC's 2009 K-1, suggesting a shared investment history. Separately, the Dechert LLP memo (EFTA02730996) commissioned by Apollo Conflicts Committee investigated the Epstein/Black relationship and confirmed AP SHL and AP Technology were formed by 'certain Apollo executives' — Rowan, as co-founder, would have known about these side vehicles. Rowan's introduction of Shwachman to Epstein for USVI regulatory influence echoes the broader pattern of Apollo executives facilitating Epstein's access to institutional power."
high,canonical-but-missing-quote,550,Prytanee LLC,direct_quote,confirmed,efta,EFTA01386389,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Prytanee LLC ownership structure per Deutsche Bank 2018 periodic review: Southern Trust Company Inc (50%, sole shareholder Jeffrey Epstein, board directors Epstein and Indyke) and The Pierre Trust (50%). Managing Member: Etienne Binant. Registered at 6100 Red Hook Quarter B3, St Thomas USVI. Deutsche Bank account #42967121, classified as HIGH RISK under SOUTHERN FINANCIAL RELATIONSHIP. DB KYC flagged Binant ICIJ Offshore Leaks hit and Epstein negative media during 2018 review."
high,canonical-but-missing-quote,553,Forums LLC,direct_quote,confirmed,efta,EFTA01340334,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Forums LLC made a 220,000 dollar internal funds transfer to Ghislaine Maxwell JPMorgan Private Bank checking account in January 2006 (EFTA01524286). Also listed as one of 22+ Epstein-affiliated entities on JPM 2006 data tape per September 2009 letter from VP Janet Young to Kahn and Indyke (EFTA01340334). Forums LLC was a USVI-registered entity within the Epstein corporate network, operating through JPM Private Bank alongside NES LLC (which handled payroll for Maxwell)."
high,canonical-but-missing-quote,554,Financial Ballistics Trust,direct_quote,confirmed,efta,EFTA01873997,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Financial Ballistics Trust listed in Richard Kahn Open Items memo to Epstein (March 2012) alongside Zorro Trust, Haze Trust, Butterfly Trust, and KCAC LLC for April 15 tax returns and extensions. Kahn noted they were waiting on direction from Erika for the Financial Ballistics Trust filing. This places the trust in the same tier as Epstein core trusts requiring annual tax compliance."
high,canonical-but-missing-quote,555,CDE Inc,direct_quote,confirmed,efta,EFTA01873997,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","CDE Inc. confirmed as USVI S Corporation owned by Jeffrey Epstein (JEE Owner). Listed in Richard Kahn Open Items memo (March 2012) as one of 8 potential entities for a 500,000 dollar David Mitchell Columbia Heights investment. Other options included NYSG LLC (DKI/Indyke owner), Nine East 71st Street Corp (JEE owner), FT Real Estate (USVI C Corp, JEE owner), FTC (USVI S Corp, JEE owner), HBRK (NYS C Corp, RK and HB owners), Mort Inc (USVI S Corp, JEE owner), Poplar Inc (USVI S Corp, JEE owner)."
high,canonical-but-missing-quote,556,Mort Inc,direct_quote,confirmed,efta,EFTA01873997,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.",Mort Inc. confirmed as USVI S Corporation owned by Jeffrey Epstein. Listed in Kahn Open Items memo (March 2012) as potential investment vehicle for 500K David Mitchell Columbia Heights investment. The entity name Mort (death in French) follows Epstein pattern of opaque naming for shell entities.
high,canonical-but-missing-quote,557,FT Real Estate Inc,direct_quote,confirmed,efta,EFTA01873997,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","FT Real Estate Inc. confirmed as USVI C Corporation owned by Jeffrey Epstein. Listed in Kahn Open Items memo (March 2012) as potential investment vehicle for 500K Columbia Heights investment. Distinguished from Financial Trust Company Inc (FTC) which was a USVI S Corp. The C Corp vs S Corp distinction suggests FT Real Estate had different tax treatment, possibly for holding property assets with foreign investors or multiple classes of stock."
high,canonical-but-missing-quote,562,NA Property Inc,direct_quote,high,efta,EFTA01314734,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","NA Property Inc was located at 5906 East Dublin-Granville Road, New Albany OH 43054 -- Leslie Wexner territory in New Albany Ohio. FedEx records show J. Epstein and Co. Inc. (457 Madison Ave) shipping documents to NA Property Inc addressed to Pig Ugland (signed by K. Kahn, Jan 1999) and Marc Lundberg (Dec 2000, signed R. Platt). 27 DugganUSA hits, all FedEx shipping invoices. The entity appears to be a Wexner/Epstein property management company operating in Ohio."
high,canonical-but-missing-quote,570,Financial Infomatics Inc,direct_quote,confirmed,efta,EFTA01298264,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Financial Infomatics Inc. incorporated November 18, 2011 in the USVI. Jeffrey Epstein subscribed for 10,000 shares of common stock at 0.01 par value. Darren Indyke served as Vice President and accepted the stock subscription. Deutsche Bank ran KYC/AML adverse media searches on the entity (Apr 2018, analyst Mayur Rathod) as part of periodic review, finding no adverse results. Name is a deliberate misspelling of informatics, consistent with Epstein pattern of using obscure/slightly-off entity names to avoid search detection."
high,canonical-but-missing-quote,570,Financial Infomatics Inc,direct_quote,confirmed,efta,EFTA01360708,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Financial Infomatics Inc. incorporated November 18, 2011 in the USVI. Jeffrey Epstein subscribed for 10,000 shares of common stock at 0.01 par value. Darren Indyke served as Vice President and accepted the stock subscription. Deutsche Bank ran KYC/AML adverse media searches on the entity (Apr 2018, analyst Mayur Rathod) as part of periodic review, finding no adverse results. Name is a deliberate misspelling of informatics, consistent with Epstein pattern of using obscure/slightly-off entity names to avoid search detection."
high,canonical-but-missing-quote,577,L.A.W. Plantation Management Corp,direct_quote,confirmed,efta,EFTA01295770,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","L.A.W. Plantation Management Corp. was a Georgia corporation (Corp #992226, also K627510) with Epstein as CEO and Indyke as Secretary. Address: 515 Abigail Plantation Rd, Albany GA 31721. Status Active/Compliance per GA records. The L.A.W. initials almost certainly stand for Leslie A. Wexner. Entity appeared in multiple Deutsche Bank KYC/due diligence searches alongside Ghislaine Corp, Nine East 71st Street Corp, and other Epstein entities. Also listed among Indyke corporate affiliations at 6525 W Campus Oval Suite 10, New Albany OH 43054 (Wexner HQ area). 20+ LMSBAND documents reference this entity."
high,canonical-but-missing-quote,577,L.A.W. Plantation Management Corp,direct_quote,confirmed,efta,EFTA01296720,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","L.A.W. Plantation Management Corp. was a Georgia corporation (Corp #992226, also K627510) with Epstein as CEO and Indyke as Secretary. Address: 515 Abigail Plantation Rd, Albany GA 31721. Status Active/Compliance per GA records. The L.A.W. initials almost certainly stand for Leslie A. Wexner. Entity appeared in multiple Deutsche Bank KYC/due diligence searches alongside Ghislaine Corp, Nine East 71st Street Corp, and other Epstein entities. Also listed among Indyke corporate affiliations at 6525 W Campus Oval Suite 10, New Albany OH 43054 (Wexner HQ area). 20+ LMSBAND documents reference this entity."
high,canonical-but-missing-quote,577,L.A.W. Plantation Management Corp,direct_quote,confirmed,efta,EFTA01297717,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","L.A.W. Plantation Management Corp. was a Georgia corporation (Corp #992226, also K627510) with Epstein as CEO and Indyke as Secretary. Address: 515 Abigail Plantation Rd, Albany GA 31721. Status Active/Compliance per GA records. The L.A.W. initials almost certainly stand for Leslie A. Wexner. Entity appeared in multiple Deutsche Bank KYC/due diligence searches alongside Ghislaine Corp, Nine East 71st Street Corp, and other Epstein entities. Also listed among Indyke corporate affiliations at 6525 W Campus Oval Suite 10, New Albany OH 43054 (Wexner HQ area). 20+ LMSBAND documents reference this entity."
high,canonical-but-missing-quote,604,Coatue Enterprises LLC,direct_quote,confirmed,efta,EFTA01266204,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Coatue Enterprises LLC confirmed as Richard David Kahn personal entity per Epstein trust documents (multiple versions: EFTA01266134, EFTA01266204, EFTA01266457). Trust provision states that upon Epstein death, trustees shall distribute funds to RICHARD DAVID KAHN, his spouse LISA KAHN, and/or any entity beneficially owned by them including but not limited to Coatue Enterprises LLC, a New York limited liability company. The funds are designated for repayment of all outstanding financial obligations and liabilities owed by Kahn to Epstein. This confirms Kahn had significant personal financial debts to Epstein that were to be forgiven through the trust structure."
high,canonical-but-missing-quote,604,Coatue Enterprises LLC,direct_quote,confirmed,efta,EFTA01266457,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Coatue Enterprises LLC confirmed as Richard David Kahn personal entity per Epstein trust documents (multiple versions: EFTA01266134, EFTA01266204, EFTA01266457). Trust provision states that upon Epstein death, trustees shall distribute funds to RICHARD DAVID KAHN, his spouse LISA KAHN, and/or any entity beneficially owned by them including but not limited to Coatue Enterprises LLC, a New York limited liability company. The funds are designated for repayment of all outstanding financial obligations and liabilities owed by Kahn to Epstein. This confirms Kahn had significant personal financial debts to Epstein that were to be forgiven through the trust structure."
high,canonical-but-missing-quote,605,Seaford Avenue Capital,direct_quote,confirmed,efta,EFTA01287476,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Seaford Avenue Capital LLC received regular wire transfers from Southern Trust Company Deutsche Bank account (44129244) to Wells Fargo account 82379625. Documented transfers: 346,680 (Nov 9 2017), 350,809 (Mar 7 2018), 173,332 (Aug 15 2018). STC account balance fluctuated significantly with large inflows (2M-5M) and outflows. Same STC account also wired to Silicon Valley Bank account 330123189 (Mar 29 2018). Seaford Avenue Capital appears to be an investment vehicle or fund receiving regular distributions from Epstein's Southern Trust Company."
high,canonical-but-missing-quote,605,Seaford Avenue Capital,direct_quote,confirmed,efta,EFTA01287843,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Seaford Avenue Capital LLC received regular wire transfers from Southern Trust Company Deutsche Bank account (44129244) to Wells Fargo account 82379625. Documented transfers: 346,680 (Nov 9 2017), 350,809 (Mar 7 2018), 173,332 (Aug 15 2018). STC account balance fluctuated significantly with large inflows (2M-5M) and outflows. Same STC account also wired to Silicon Valley Bank account 330123189 (Mar 29 2018). Seaford Avenue Capital appears to be an investment vehicle or fund receiving regular distributions from Epstein's Southern Trust Company."
high,canonical-but-missing-quote,607,Financial Ballistics Trust,direct_quote,confirmed,efta,EFTA01872387,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Financial Ballistics Trust confirmed as active USVI trust making payments from Epstein Deutsche Bank checking account. Check for 2,500 dollars to CT Corporation System (registered agent service) dated October 23, 2015, signed by Jeffrey Epstein from 6100 Red Hook Quarter B3, St Thomas USVI. Adjacent checks in the register include a 9,252 dollar payment to Insurance Office of Central Ohio in New Albany OH (Wexner territory). The trust was active alongside Zorro Trust, Haze Trust, and Butterfly Trust per the 2012 Kahn memo, requiring annual tax compliance."
high,canonical-but-missing-quote,609,Epstein Network,direct_quote,confirmed,efta,EFTA00016865,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","The 2007 Jeffrey E. Epstein Insurance Trust #3 (dated Nov 1, 2007): Darren Indyke as trustee designated Richard Kahn as additional trustee effective Dec 17-27, 2012. Deutsche Bank ran KYC/AML adverse media searches on the trust (analyst Mayur Rathod) and cleared it, noting Epstein sex offense charges were cleared already. 258 documents referencing this trust in DugganUSA. The 2001 Trust One: Epstein removed Jeffrey A. Schantz as co-trustee and designated Ghislaine Maxwell and Ira Zicherman as successor co-trustees. The Will directed all property to the 2001 Trust, with executors Indyke, Joseph Pagano, and Lawrence Newman, and backup executors Jes Staley and Andrew Farkas."
high,canonical-but-missing-quote,609,Epstein Network,direct_quote,confirmed,efta,EFTA01298228,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","The 2007 Jeffrey E. Epstein Insurance Trust #3 (dated Nov 1, 2007): Darren Indyke as trustee designated Richard Kahn as additional trustee effective Dec 17-27, 2012. Deutsche Bank ran KYC/AML adverse media searches on the trust (analyst Mayur Rathod) and cleared it, noting Epstein sex offense charges were cleared already. 258 documents referencing this trust in DugganUSA. The 2001 Trust One: Epstein removed Jeffrey A. Schantz as co-trustee and designated Ghislaine Maxwell and Ira Zicherman as successor co-trustees. The Will directed all property to the 2001 Trust, with executors Indyke, Joseph Pagano, and Lawrence Newman, and backup executors Jes Staley and Andrew Farkas."
high,canonical-but-missing-quote,615,Nautilus Inc,direct_quote,confirmed,efta,EFTA01266134,absent,"Ingest missing EFTA document into docs DB, then rerun quote backfill.","Nautilus Inc was a USVI corporation holding title to Little St. James Island. Epstein owned 10,000 shares. Estate inventory valued the property at 63,874,223 dollars. Per the 1953 Trust (EFTA01266134), the LSJ Property (Nautilus shares) was designated for a specific beneficiary. Also referenced as Great St. James Island entity in some documents (10,000 shares of a separate USVI corporation valued at 22,498,600). Total island property value approximately 86.4M."
