facility,report_id,report_date,row_evidentiary_role,oversight_body,oversight_record_type,oversight_issue_domain,oversight_quote,oversight_source_url,award_or_vehicle,report_consequence_class,deficiency_notice_or_discrepancy,ucap_or_corrective_action,cure_or_show_cause,invoice_deduction_or_withheld_payment,award_fee_or_cpars,option_extension_renewal,later_capacity_or_funding,agency_response_or_control,consequence_evidence_refs,public_record_gap,causation_limit,linked_findings
Mesa Verde ICE Processing Center,OIG-24-03,2023-11-02,adverse_or_systemic_observation,DHS OIG,limited-scope unannounced inspection,use of force reporting / optometry,the facility did not accurately report or fully record an event that met the requirements of a use of force incident,https://www.oig.dhs.gov/sites/default/files/assets/2023-11/OIG-24-03-Nov23.pdf,70CDCR20D00000008 (shared California detention IDIQ with Golden State),mixed_corrective_status_no_public_financial_effect,OIG documented a use-of-force reporting deficiency; no separate contractual notice located.,All three recommendations were resolved/open at issuance; the public page showed recommendation 1 open on 2026-07-14. Absence of 2 and 3 from the open list was not treated as proof of closure.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Parent IDIQ ordering period extends through 2034-12-20; FY2025 and FY2026 shared tasks continued.,FY2026 task 70CDCR26FR0000042 received Mesa Verde-specific funding on 2026-05-22.,ICE concurred with all three recommendations.,OIG-24-03 | USAspending:70CDCR20D00000008 | USAspending:70CDCR26FR0000042-P00003,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12797 | 12798
Mesa Verde ICE Processing Center,OIG-24-03,2023-11-02,control_or_counterevidence,DHS OIG,limited-scope unannounced inspection,voluntary work / conditions / grievances,"the facility complied with standards for the voluntary work program, facility conditions, and grievances",https://www.oig.dhs.gov/sites/default/files/assets/2023-11/OIG-24-03-Nov23.pdf,70CDCR20D00000008 (shared California detention IDIQ with Golden State),mixed_corrective_status_no_public_financial_effect,OIG documented a use-of-force reporting deficiency; no separate contractual notice located.,All three recommendations were resolved/open at issuance; the public page showed recommendation 1 open on 2026-07-14. Absence of 2 and 3 from the open list was not treated as proof of closure.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Parent IDIQ ordering period extends through 2034-12-20; FY2025 and FY2026 shared tasks continued.,FY2026 task 70CDCR26FR0000042 received Mesa Verde-specific funding on 2026-05-22.,Operational correction and continued task funding are documented separately; proportional financial consequence remains unknown.,OIG-24-03 | USAspending:70CDCR20D00000008 | USAspending:70CDCR26FR0000042-P00003,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12797 | 12798
Golden State Annex,OIG-24-23,2024-04-18,adverse_or_systemic_observation,DHS OIG,unannounced inspection,classification / grievances / segregation recreation / requests / conditions,"The facility could not ensure it was completing detainee classification within the required 12 hours, or that all required reclassification paperwork was in detainees’ files.",https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf,70CDCR20D00000008 (shared California detention IDIQ with Mesa Verde),closed_minimum_update_terms_not_public,OIG documented facility deficiencies and approximately $25.3 million paid for unused guaranteed beds.,"Recommendation 7, requiring a housing-needs analysis and updated guaranteed minimum, is publicly closed; recommendations 1, 2, and 3 remained open on 2026-07-14.",No public cure/show-cause letter located in the reviewed official sources.,"The revised minimum, effective date, rates, invoice effects, and savings are not public in the reviewed records.",No public award-fee or CPARS record located; absence is not proof that none exists.,Parent IDIQ ordering period extends through 2034-12-20; FY2025 and FY2026 shared tasks continued.,FY2026 task 70CDCR26FR0000042 received Golden State-specific funding on 2026-06-26; the public action does not state the revised minimum.,ICE concurred with all seven recommendations.,OIG-24-23 | USAspending:70CDCR20D00000008 | USAspending:70CDCR26FR0000042-P00004,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12421 | 12422 | 12423 | 12424
Golden State Annex,OIG-24-23,2024-04-18,control_or_counterevidence,DHS OIG,unannounced inspection,use of force / voluntary work / legal / segregation,"Golden State complied with ICE’s Performance-Based National Detention Standards 2011 (PBNDS 2011), as revised in December 2016, for use of force, the voluntary work program, access to the law library and legal services, and detainee segregation with one noted exception.",https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf,70CDCR20D00000008 (shared California detention IDIQ with Mesa Verde),closed_minimum_update_terms_not_public,OIG documented facility deficiencies and approximately $25.3 million paid for unused guaranteed beds.,"Recommendation 7, requiring a housing-needs analysis and updated guaranteed minimum, is publicly closed; recommendations 1, 2, and 3 remained open on 2026-07-14.",No public cure/show-cause letter located in the reviewed official sources.,"The revised minimum, effective date, rates, invoice effects, and savings are not public in the reviewed records.",No public award-fee or CPARS record located; absence is not proof that none exists.,Parent IDIQ ordering period extends through 2034-12-20; FY2025 and FY2026 shared tasks continued.,FY2026 task 70CDCR26FR0000042 received Golden State-specific funding on 2026-06-26; the public action does not state the revised minimum.,"Closure is counterevidence to a blanket non-remediation theory, but proportionality cannot be tested without the closure package and contract terms.",OIG-24-23 | USAspending:70CDCR20D00000008 | USAspending:70CDCR26FR0000042-P00004,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12421 | 12422 | 12423 | 12424
Denver Contract Detention Facility,OIG-24-29,2024-06-12,adverse_or_systemic_observation,DHS OIG,unannounced inspection,communication / grievances,facility and ICE staff did not comply with standards related to staff-detainee communication and grievance practices,https://www.oig.dhs.gov/sites/default/files/assets/2024-06/OIG-24-29-Jun24.pdf,HSCEDM11D00003 (historical); 70CDCR22D00000001 (later direct IDIQ),mixed_corrective_status_plus_later_capacity_increase,OIG documented Denver deficiencies; no separate contractual discrepancy/cure notice located.,"Six recommendations were closed and eight open at issuance; public page showed 1, 4, 6, 7, 8, and 13 open on 2026-07-14. A later ODO follow-up recorded both compliance and new deficiencies.",No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2021-10-16 through 2026-10-15; annual task orders continued after the 2024 reports.,"P00011 on 70CDCR25FR0000005 added $7,004,194.70 and increased the maximum number of beds on 2025-09-23.",ICE concurred with all 14 recommendations.,OIG-24-29 | USAspending:70CDCR25FR0000005-P00011,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12799 | 12800 | 12802 | 12820
Denver Contract Detention Facility,OIG-24-29,2024-06-12,control_or_counterevidence,DHS OIG,unannounced inspection,recreation / use of force / library / voluntary work,"Denver’s staff complied with Performance-Based National Detention Standards 2011, revised in December 2016, for recreation, use of force, library, and the voluntary work program.",https://www.oig.dhs.gov/sites/default/files/assets/2024-06/OIG-24-29-Jun24.pdf,HSCEDM11D00003 (historical); 70CDCR22D00000001 (later direct IDIQ),mixed_corrective_status_plus_later_capacity_increase,OIG documented Denver deficiencies; no separate contractual discrepancy/cure notice located.,"Six recommendations were closed and eight open at issuance; public page showed 1, 4, 6, 7, 8, and 13 open on 2026-07-14. A later ODO follow-up recorded both compliance and new deficiencies.",No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2021-10-16 through 2026-10-15; annual task orders continued after the 2024 reports.,"P00011 on 70CDCR25FR0000005 added $7,004,194.70 and increased the maximum number of beds on 2025-09-23.","A 2025 maximum-bed increase is documented, but the award action does not link the decision to inspection performance.",OIG-24-29 | USAspending:70CDCR25FR0000005-P00011,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12799 | 12800 | 12802 | 12820
Karnes County Residential Center,DHS-OIG-KARNES-2015,2015-01-07,control_or_counterevidence,DHS OIG,investigative summary,alleged staff sexual misconduct,We found no evidence to substantiate the allegations and were unable to identify a victim or suspect in this matter.,https://www.oversight.gov/sites/default/files/documents/reports/2017-07/OIG_mga-010715.pdf,Historical county/ICE arrangement; do not merge automatically with 70CDCR24DIG000018,non_substantiation_control,No contractual deficiency notice expected from the cited source because OIG did not substantiate the specified allegations.,OIG reported PREA reporting compliance and supplied its report to ICE/CRCL.,Not applicable to this control row.,No adverse contract consequence inferred or expected from this record.,No public award-fee or CPARS record located; absence is not proof that none exists.,Not tested because the reviewed investigative summary did not substantiate the specified allegations and does not identify the operative award.,Not applicable as a consequence test for this non-substantiation control.,A report was provided to ICE and DHS CRCL before a scheduled CRCL inspection.,DHS-OIG-KARNES-2015 | DHS-OIG-KARNES-2015,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12805
Adelanto ICE Processing Center,ICE-ODO-2024-002-386,2024-07-18,control_or_counterevidence,ICE Office of Detention Oversight,follow-up compliance inspection,18 reviewed standards,There were no findings during the inspection.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/2024-AdelantoIPC-AdelantoCA-July.pdf,70CDCR20D00000009 (later direct ICE period; do not merge with historical City D-IGSA),later_no_findings_control,ODO reported no findings.,Later-period no-findings follow-up is positive control evidence.,Not applicable to this control row.,No adverse financial consequence expected from this report.,No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2019-12-20 through 2029-12-19; FY2026 task 70CDCR26FR0000028.,"FY2026 task actions totaled $86,404,000 through 2026-06-10; the descriptions fund detention and transportation, not a performance remedy.",Does not retroactively negate OIG-18-86.,ICE-ODO-2024-002-386 | HigherGov:70CDCR20D00000009 | USAspending:70CDCR26FR0000028,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12789 | 12790 | 12801
Denver Contract Detention Facility,ICE-ODO-2024-002-330,2024-08-15,adverse_or_systemic_observation,ICE Office of Detention Oversight,follow-up compliance inspection,four deficient standards,ODO found six deficiencies in the remaining four standards.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/denverCDF_AuroraCO_Aug13-15_2024.pdf,HSCEDM11D00003 (historical); 70CDCR22D00000001 (later direct IDIQ),completed_prior_ucap_new_deficiencies_later_capacity_increase,ODO reported six deficiencies in four standards and a staffing area of concern.,The report states a prior UCAP was completed and likely resolved earlier cited items; it does not show closure of the new deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2021-10-16 through 2026-10-15; annual task orders continued after the 2024 reports.,"P00011 on 70CDCR25FR0000005 added $7,004,194.70 and increased the maximum number of beds on 2025-09-23.",Later maximum-bed increase is neutral continuation evidence because the action does not discuss performance treatment.,ICE-ODO-2024-002-330 | USAspending:70CDCR25FR0000005-P00011,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12799 | 12800 | 12802 | 12820
Denver Contract Detention Facility,ICE-ODO-2024-002-330,2024-08-15,control_or_counterevidence,ICE Office of Detention Oversight,follow-up compliance inspection,14 reviewed standards,found the facility in compliance with 14 of those standards,https://www.ice.gov/doclib/foia/odo-compliance-inspections/denverCDF_AuroraCO_Aug13-15_2024.pdf,HSCEDM11D00003 (historical); 70CDCR22D00000001 (later direct IDIQ),completed_prior_ucap_new_deficiencies_later_capacity_increase,ODO reported six deficiencies in four standards and a staffing area of concern.,The report states a prior UCAP was completed and likely resolved earlier cited items; it does not show closure of the new deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2021-10-16 through 2026-10-15; annual task orders continued after the 2024 reports.,"P00011 on 70CDCR25FR0000005 added $7,004,194.70 and increased the maximum number of beds on 2025-09-23.",Later maximum-bed increase is neutral continuation evidence because the action does not discuss performance treatment.,ICE-ODO-2024-002-330 | USAspending:70CDCR25FR0000005-P00011,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12799 | 12800 | 12802 | 12820
Denver Contract Detention Facility,ICE-ODO-2024-002-330,2024-08-15,adverse_or_systemic_observation,ICE Office of Detention Oversight,follow-up compliance inspection,contract staffing,ODO noted the facility’s staffing levels as an Area of Concern.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/denverCDF_AuroraCO_Aug13-15_2024.pdf,HSCEDM11D00003 (historical); 70CDCR22D00000001 (later direct IDIQ),completed_prior_ucap_new_deficiencies_later_capacity_increase,ODO reported six deficiencies in four standards and a staffing area of concern.,The report states a prior UCAP was completed and likely resolved earlier cited items; it does not show closure of the new deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2021-10-16 through 2026-10-15; annual task orders continued after the 2024 reports.,"P00011 on 70CDCR25FR0000005 added $7,004,194.70 and increased the maximum number of beds on 2025-09-23.",Later maximum-bed increase is neutral continuation evidence because the action does not discuss performance treatment.,ICE-ODO-2024-002-330 | USAspending:70CDCR25FR0000005-P00011,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12799 | 12800 | 12802 | 12820
Northwest ICE Processing Center,ICE-ODO-2024-005-389,2024-08-15,adverse_or_systemic_observation,ICE Office of Detention Oversight,follow-up compliance inspection,six deficient standards,ODO found 11 deficiencies in the remaining 6 standards.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/tacomaIPC_NorthwestDetCTR_TacomaWA_Aug13-15_2024.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),completed_ucap_repeat_deficiencies_plus_later_extension,"ODO reported 11 deficiencies in six standards, including two repeat deficiencies.",ODO said the completed January 2024 UCAP may not have been sufficient and recommended continued work on outstanding deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",Durable correction was not established before later extension/expansion actions.,ICE-ODO-2024-005-389 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
Northwest ICE Processing Center,ICE-ODO-2024-005-389,2024-08-15,adverse_or_systemic_observation,ICE Office of Detention Oversight,follow-up compliance inspection,repeat deficiencies / corrective action,"which included 2 repeat deficiencies. NDCTR completed its UCAP for its last inspection in January 2024, which may not have been sufficient to prevent the repeat deficiencies",https://www.ice.gov/doclib/foia/odo-compliance-inspections/tacomaIPC_NorthwestDetCTR_TacomaWA_Aug13-15_2024.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),completed_ucap_repeat_deficiencies_plus_later_extension,"ODO reported 11 deficiencies in six standards, including two repeat deficiencies.",ODO said the completed January 2024 UCAP may not have been sufficient and recommended continued work on outstanding deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",Durable correction was not established before later extension/expansion actions.,ICE-ODO-2024-005-389 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
Northwest ICE Processing Center,ICE-ODO-2024-005-389,2024-08-15,control_or_counterevidence,ICE Office of Detention Oversight,follow-up compliance inspection,14 reviewed standards,found the facility in compliance with 14 of those standards,https://www.ice.gov/doclib/foia/odo-compliance-inspections/tacomaIPC_NorthwestDetCTR_TacomaWA_Aug13-15_2024.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),completed_ucap_repeat_deficiencies_plus_later_extension,"ODO reported 11 deficiencies in six standards, including two repeat deficiencies.",ODO said the completed January 2024 UCAP may not have been sufficient and recommended continued work on outstanding deficiencies.,No public cure/show-cause letter located in the reviewed official sources.,"No public deduction, withholding, award-fee, or CPARS consequence located.",No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",Durable correction was not established before later extension/expansion actions.,ICE-ODO-2024-005-389 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
Northwest ICE Processing Center,ICE-ODO-OPR-201200440,2012-01-12,adverse_or_systemic_observation,ICE Office of Detention Oversight,compliance inspection,13 compliant standards / three documentation deficiencies,"ODO verified that NWDC was in full compliance with 13 of the 15 PBNDS reviewed. ODO recorded only three deficiencies in the following two standards: Disciplinary System (1 deficiency), and Use of Force and Restraints (2).",https://www.ice.gov/doclib/foia/odo-compliance-inspections/2012northwest-detention-center-tacoma-wa-jan10-12.pdf,HSCEDM15D00015 (through 2025); 70CDCR26D00000026 (2026 bridge),mixed_compliance_control_later_contracting,ODO reported three deficiencies in two standards and compliance in 13 standards.,ERO was to use the report to develop corrective actions; closeout details are not public in the reviewed record.,No public cure/show-cause letter located in the reviewed official sources.,No public financial consequence located.,No public award-fee or CPARS record located; absence is not proof that none exists.,P00008 extended FY2025 task 70CDCR25FR0000004; a later seven-month sole-source IDIQ/task runs through 2026-10-27.,"P00008 added $11,894,500 for services including expansion, remote posts, and overtime beds; the 2026 bridge task records $39,042,746.99 in the current universe.",Historical mixed control; later contract awards are not evidence of the treatment of the 2012 items.,ICE-ODO-OPR-201200440 | USAspending:70CDCR25FR0000004-P00008 | USAspending:70CDCR26D00000026 | USAspending:70CDCR26FR0000055,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12792 | 12795 | 12796 | 12803 | 12804 | 12819 | 12822 | 12823
Adelanto ICE Processing Center,ICE-DDR-GONZALEZ-2017,2017-03-28,control_or_counterevidence,ICE Office of Professional Responsibility,detainee death review,death-review deficiencies,Their inclusion in the report should not be construed in any way as indicating the deficiency contributed to the death of the detainee.,https://www.ice.gov/doclib/foia/reports/ddrGonzalez.pdf,70CDCR20D00000009 (later direct ICE period; do not merge with historical City D-IGSA),causation_caveat_control,Death review listed deficiencies but expressly disclaimed inferring that they contributed to the death.,No contract consequence inferred from the reviewed caveat.,Not applicable to this control row.,Not tested from this source.,No public award-fee or CPARS record located; absence is not proof that none exists.,Later direct IDIQ period: 2019-12-20 through 2029-12-19; FY2026 task 70CDCR26FR0000028.,"FY2026 task actions totaled $86,404,000 through 2026-06-10; the descriptions fund detention and transportation, not a performance remedy.",Preserves the report's causation limit.,ICE-DDR-GONZALEZ-2017 | HigherGov:70CDCR20D00000009 | USAspending:70CDCR26FR0000028,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",12789 | 12790 | 12801
Systemwide ICE detention oversight,GAO-15-153,2014-10-10,adverse_or_systemic_observation,GAO,performance audit,inspection consistency,inspection results differed for 29 of 35 facilities inspected by both ICE's Enforcement and Removal Operations (ERO) and Office of Detention Oversight (ODO) in fiscal year 2013,https://www.gao.gov/products/gao-15-153,Systemwide; do not attribute to one GEO facility or award,systemwide_not_facility_attributable,Systemwide inspection-consistency finding; not a GEO facility notice.,GAO later closed the related recommendation after ICE changed contractor procedures.,No public cure/show-cause letter located in the reviewed official sources.,No GEO-specific consequence can be attributed from this source.,No public award-fee or CPARS record located; absence is not proof that none exists.,Not facility-specific.,Not facility-specific.,ICE later modified contractor procedures and GAO closed the related recommendation as implemented.,GAO-15-153,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",
Systemwide ICE detention oversight,GAO-20-596,2020-08-19,adverse_or_systemic_observation,GAO,performance audit,inspection and complaint trend analysis,"ICE collects the results of its various inspections, such as deficiencies they identify, but does not comprehensively analyze them to identify trends or record all inspection results in a format conducive to such analyses.",https://www.gao.gov/products/gao-20-596,Systemwide; do not attribute to one GEO facility or award,systemwide_not_facility_attributable,Systemwide trend-analysis finding; not a GEO facility notice.,Recommendation status is tracked systemwide.,No public cure/show-cause letter located in the reviewed official sources.,No GEO-specific consequence can be attributed from this source.,No public award-fee or CPARS record located; absence is not proof that none exists.,Not facility-specific.,Not facility-specific.,DHS concurred with all six recommendations.,GAO-20-596,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",
Systemwide ICE detention oversight,GAO-21-149,2021-01-13,adverse_or_systemic_observation,GAO,performance audit,acquisition documentation,"28 of 40 of these contracts and agreements did not have documentation from ICE field offices showing a need for the space, outreach to local officials, or the basis for ICE's decisions to enter into them, as required by ICE's process.",https://www.gao.gov/products/gao-21-149,Systemwide; do not attribute to one GEO facility or award,systemwide_not_facility_attributable,Systemwide acquisition/COR-independence finding; not a GEO facility notice.,Recommendation status is tracked systemwide.,No public cure/show-cause letter located in the reviewed official sources.,No GEO-specific consequence can be attributed without the underlying sampled award records.,No public award-fee or CPARS record located; absence is not proof that none exists.,Not facility-specific.,Not facility-specific.,DHS concurred with four of five recommendations.,GAO-21-149,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",
Systemwide ICE detention oversight,GAO-21-149,2021-01-13,adverse_or_systemic_observation,GAO,performance audit,COR independence,"the COR's supervisory structure—where field office management, rather than headquarters, oversee COR work and assess COR performance—does not provide sufficient independence for effective oversight",https://www.gao.gov/products/gao-21-149,Systemwide; do not attribute to one GEO facility or award,systemwide_not_facility_attributable,Systemwide acquisition/COR-independence finding; not a GEO facility notice.,Recommendation status is tracked systemwide.,No public cure/show-cause letter located in the reviewed official sources.,No GEO-specific consequence can be attributed without the underlying sampled award records.,No public award-fee or CPARS record located; absence is not proof that none exists.,Not facility-specific.,Not facility-specific.,DHS disagreed with revising the supervisory structure; GAO maintained the recommendation.,GAO-21-149,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",
Systemwide ICE detention oversight,GAO-25-107580,2025-05-21,adverse_or_systemic_observation,GAO,performance audit,inspection-program goals and measures,"ODO rated facilities as acceptable or above in 238 of 241 inspections during this period. But it found deficiencies related to, for example, environmental health and safety, such as water quality; and food service, such as sanitary conditions.",https://www.gao.gov/products/gao-25-107580,Systemwide; do not attribute to one GEO facility or award,systemwide_not_facility_attributable,Systemwide ODO performance-goal finding; not a GEO facility notice.,ODO performance-goal recommendation remained open as of May 2026.,No public cure/show-cause letter located in the reviewed official sources.,No GEO-specific consequence can be attributed from this source.,No public award-fee or CPARS record located; absence is not proof that none exists.,Not facility-specific.,Not facility-specific.,GAO made three recommendations; DHS concurred with two.,GAO-25-107580,"No public cure/show-cause letter, invoice-level deduction or withholding log, award-fee adjustment, or CPARS evaluation was located in the bounded official-source review. This is an access/coverage result, not evidence that no such record or remedy exists.","Chronology establishes sequence only. No continuation, extension, capacity action, or funding action is attributed to inspection performance unless the cited record says so.",
