source_node,target_node,edge_class,directness,start_date,end_date,evidence_basis,finding_ids,source_url,confidence,caveat
Pamela Bondi,The GEO Group Inc.,lobbying,direct,2019-Q3,2019-Q3,"Ballard GEO LD-2 names Bondi as lobbyist",12507,https://lda.senate.gov/filings/public/filing/908e8081-b0f6-472f-a318-c6f9ca62f28c/print/,confirmed,"Does not identify which entity she personally contacted"
Pamela Bondi,Trump transition and administrations,political/appointment/employment,direct,2016,present in distinct roles,"LDA reports transition/commission positions; DOJ reports 2019 White House and 2025 attorney-general roles",12507,https://www.justice.gov/ag/staff-profile/meet-attorney-general,confirmed,"Distinct noncontinuous roles; no lobbying-outcome inference"
Justin J. Sayfie,The GEO Group Inc.,lobbying,direct,2019-Q3,2019-Q3,"Ballard GEO LD-2 names Sayfie as lobbyist",12508,https://lda.senate.gov/filings/public/filing/908e8081-b0f6-472f-a318-c6f9ca62f28c/print/,confirmed,"Does not identify which entity he personally contacted"
Justin J. Sayfie,President's Commission on White House Fellowships,appointment/political,direct,2018,2019,"Trump White House announced intent to appoint; later LDA identifies him as commissioner",12508,https://trumpwhitehouse.archives.gov/presidential-actions/president-donald-j-trump-announces-intent-designate-appoint-personnel-key-administration-posts/,confirmed,"Appointment announcement alone says intent; later LDA supplies commissioner status"
Chris LaCivita,Donald J. Trump 2024 campaign,campaign adviser,direct,2024,2024,"Trump campaign page identifies Chris LaCivita (the father) as senior adviser",12710,https://www.donaldjtrump.com/news/3ab5098b-f582-4ca3-806d-7ef284c5d008,confirmed,"Campaign role belongs to the father; it does not establish government authority"
Christopher LaCivita Jr.,The GEO Group Inc.,lobbying,direct,2025-08-13,2026-05-04,"Checkmate GEO registration and LD-2 series name Christopher LaCivita Jr. on detention-center-contract issues",12710;12718;12719,https://lda.senate.gov/filings/public/filing/a40f2539-930f-469b-a4c4-2a1beec2b368/print/,confirmed,"Jr. is not his father; aggregate filing does not prove a personal White House contact"
Christopher LaCivita Jr.,Chris LaCivita,family,familial,unknown,present,"Axios identifies Checkmate Public Affairs Director Chris LaCivita Jr. as campaign adviser Chris LaCivita's son",12710,https://www.axios.com/2025/02/24/new-maga-alliance-miller-strategies-checkmate,high,"Family relationship does not establish shared client work or a White House contact"
Checkmate Government Relations,White House Office,lobbying contact disclosure,institutional,2026-Q1,2026-Q1,"Amended GEO LD-2 lists White House Office on detention-center-contract issues",12509;12718;12719,https://lda.senate.gov/filings/public/filing/84681557-60b4-46df-bcdd-b8de88fa71aa/print/,confirmed,"No individual contacted person or meeting identified"
Matthew Albence,ICE Presidential Transition Office response,professional/transition-response,direct,2017-01,2017-01,"Official packet names Albence as subject-matter expert clearing response",12510,https://www.dhs.gov/sites/default/files/publications/ICE%20Presidential%20Transition%20Records.pdf,confirmed,"Agency-side role; not transition-team membership"
Thomas Homan,ICE Presidential Transition Office response,professional/transition-response,direct,2017-01,2017-01,"Official packet names Homan as subject-matter expert clearing response",12510,https://www.dhs.gov/sites/default/files/publications/ICE%20Presidential%20Transition%20Records.pdf,confirmed,"Agency-side role; not transition-team membership"
Daniel Ragsdale,ICE Presidential Transition Office response,professional/transition-response,direct,2017-01,2017-01,"Official packet names Ragsdale as approving official",12510,https://www.dhs.gov/sites/default/files/publications/ICE%20Presidential%20Transition%20Records.pdf,confirmed,"Agency-side role; not transition-team membership"
Julie Myers Wood,Guidepost Solutions,employment/directorship,direct,2014,present,"GEO SEC filings identify Wood as Guidepost leader and GEO director",12387;12388;12450,https://www.sec.gov/Archives/edgar/data/923796/000119312526116014/d923546ddef14a.htm,confirmed,"No Trump-administration role verified"
Julie Myers Wood,Thomas D. Homan,shared Guidepost intermediary,second-degree,unknown,unknown,"Wood is a Guidepost leader; Homan separately disclosed Guidepost consulting compensation",12388;12450;12505,https://www.documentcloud.org/documents/25969182-thomas-homan-dhs-278.pdf,medium,"No evidence of interaction, common project, or B.I.-related work"
Trump 2026 OGE disclosure household,The GEO Group Inc.,financial holding and transactions,direct disclosure edge,2025,2026-03-04,"Annual form reports GEO asset/dividends and 2025 trades; periodic report lists March 2026 purchase",12514;12515;12516;12517,https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/69AEAA9D7455ACD585258E27002DDEE1/%24FILE/Donald-J-Trump-2026-278ANNUAL.pdf,confirmed,"Parts 6/7 may cover filer, spouse, or dependent children; do not attribute owner or trading decision personally"
