finding_id,independence_group,evidence_role,h333,h334,h341,h342,assessment_note
12531,direct-prime-universe,direct-recipient-baseline,neutral,consistent,neutral,consistent,"The verified $6.354bn ICE direct-prime action ledger is a large visible baseline; it neither quantifies nor excludes the six-chain IGSA layer."
12534,identity-universe,alias-fragmentation-control,neutral,neutral,consistent,consistent,"The 14-UEI direct-recipient map bounds alias fragmentation, while IGSA public primes remain a legally distinct visibility mechanism; accurate prime identity and a structural gap can coexist."
12620,montgomery-igsa,public-prime-geo-economic-role,consistent,consistent,consistent,neutral,"GEO submitted the current REA on the county's behalf, repeating the role but not proving a uniform control effect."
12622,montgomery-igsa,discrete-task-order-adjustment,consistent,consistent,neutral,neutral,"The $8,137 adjustment shows task-order economics, but the finding does not identify GEO as payee or establish annual materiality."
12624,montgomery-igsa,mixed-agency-pass-through-fund,consistent,consistent,neutral,neutral,"The $43.19m annual fund is large but combines ICE and USMS and does not identify the downstream GEO payment."
12625,montgomery-igsa,historical-fixed-local-fee,consistent,consistent,consistent,neutral,"The historical $500k annual fee is intermediary economics and materially differs in form and scale from LaSalle's tiered monthly fee; current status is unproven."
12626,montgomery-igsa,per-diem-net-fee-waterfall,consistent,consistent,consistent,neutral,"Federal per diems passed to GEO net of the fee, matching the layered mechanism but also an ordinary local operating agreement."
12627,montgomery-igsa,exclusive-capacity-not-guarantee,neutral,consistent,neutral,neutral,"The 1,050-bed exclusive-use allocation is not a guaranteed payment and cautions against treating shared labels as common economics."
12628,montgomery-igsa,written-funded-order-control,neutral,consistent,neutral,consistent,"Performance requires a written funded order, an ordinary and transparent legal-prime control."
12629,montgomery-igsa,actual-detainee-day-basis,neutral,consistent,neutral,consistent,"Actual-day liability directly cuts against inferring a common guaranteed-minimum effect across the IGSA layer."
12642,golden-mesa-direct-prime,direct-prime-guarantee-control,neutral,consistent,neutral,neutral,"A 560-bed direct-prime guarantee shows guarantee architecture is not distinctive to public-prime chains."
12643,golden-mesa-direct-prime,direct-prime-guarantee-control,neutral,consistent,neutral,neutral,"A second facility under the same direct-prime contract has a 320-bed minimum; it is not an independent contract-family context."
12644,golden-direct-prime,direct-prime-low-utilization-control,neutral,consistent,neutral,neutral,"Golden's period-compatible 136 ADP and 560 minimum supply a direct-prime low-utilization control."
12645,adelanto-desert-view-direct-prime,direct-prime-guarantee-control,neutral,consistent,neutral,neutral,"Adelanto's 1,455-bed direct-prime minimum is another base-rate control, not IGSA-specific evidence."
12646,adelanto-desert-view-direct-prime,superseded-direct-prime-guarantee-control,neutral,consistent,neutral,neutral,"Desert View's original 600-bed minimum was later changed to a redacted quantity, demonstrating term variation over time."
12648,tacoma-direct-prime,zero-unused-snapshot-control,neutral,consistent,neutral,neutral,"Tacoma's population exceeded its contemporaneous minimum, producing a zero-unused snapshot and disconfirming a universal unused-bed effect."
12650,south-texas-direct-prime,redacted-direct-prime-guarantee-control,neutral,consistent,neutral,neutral,"South Texas has guarantee CLIN architecture with redacted quantities; the architecture occurs outside the IGSA sample."
12653,torrance-non-geo,non-geo-fixed-charge-control,neutral,consistent,neutral,neutral,"The non-GEO comparator has disclosed fixed monthly charges and a revised minimum; it bounds claims that the effect is GEO- or IGSA-specific."
12654,aurora-direct-prime,redacted-direct-prime-guarantee-control,neutral,consistent,neutral,neutral,"Aurora's redacted minimum-quantity CLIN supplies another direct-prime contract-family base-rate control."
12656,south-texas-direct-prime,direct-prime-remedy-authority-control,neutral,consistent,neutral,neutral,"Direct-prime QASP remedy authority shows withholdings/deductions are not unique to the intermediary layer; actual use is unknown."
12657,lasalle-igsa,explicit-no-local-minimum,neutral,consistent,neutral,neutral,"The local agreement explicitly disclaims a State/LEDD minimum, directly limiting any claim of a universal local guaranteed-minimum template."
12660,montgomery-igsa,bounded-structured-award-zero,neutral,neutral,consistent,inconsistent,"HigherGov returned no exact Joe Corley award record; this cuts against straightforward structured recoverability but is secondary and one-chain bounded."
12661,montgomery-igsa,bounded-primary-recipient-zero,neutral,neutral,consistent,inconsistent,"USAspending returned no exact Montgomery/DHS prime record; this cuts against routine recovery while not proving the magnitude of GEO's ICE payment."
