id,person_a,person_b,relationship_type,date_range,verification_status,finding_id,finding_verification,thread_id,description
6358,Evangeline Parish Sheriff’s Office,U.S. Immigration and Customs Enforcement,contracts_with,,verified,12406,verified,108,The sheriff’s office is the named public counterparty under ICE IGSA EROIGSA-15-0006; the modifications identify GEO as subcontractor.
6359,LaSalle Economic Development District,U.S. Immigration and Customs Enforcement,contracts_with,,verified,12407,verified,108,The development district is the named public contractor under ICE IGSA DROIGSA-07-0015; the modifications identify GEO as subcontractor.
6360,"Clearfield County, Pennsylvania",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12408,verified,108,Clearfield County is the named contractor under ICE Moshannon IGSA 70CDCR21DIG000012; the modification states GEO submitted the REA.
6361,"Karnes County, Texas",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12404,verified,108,Karnes County is the public counterparty under ICE IGSA 70CDCR24DIG000018; services require funded task orders.
6362,Matthew T. Albence,"The GEO Group, Inc.",employment,2022-09-01 to present,verified,12456,verified,112,"Joined GEO as Senior Vice President, Client Relations effective September 1, 2022."
6363,Daniel Ragsdale,"The GEO Group, Inc.",employment,2017-07 to present,verified,12457,verified,112,"Joined GEO in July 2017 as Executive Vice President for Contract Compliance; promoted effective January 1, 2025."
6364,GrindStone Strategic Consulting LLC,"The GEO Group, Inc.",contracts_with,2022,verified,12456,verified,112,"GEO reported $137,531 paid for 2022 consulting services performed before Matthew Albence joined GEO and said GrindStone supplied no services after he joined."
6369,"GEO CARE SERVICES, LLC",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12474,verified,108,"USAspending parent-UEI reconstruction identifies 10 unique direct ICE awards to GEO Care Services, LLC with $19,003,220.26 in cumulative net award obligations; obligations are not revenue, outlays, ceilings, or annual run rate."
6370,CORRECTIONAL SERVICES CORPORATION,U.S. Immigration and Customs Enforcement,contracts_with,,verified,12474,verified,108,"USAspending parent-UEI reconstruction identifies three unique direct ICE awards to Correctional Services Corporation with $5,959,800.50 in cumulative net award obligations; obligations are not revenue, outlays, ceilings, or annual run rate."
6371,"CORNELL COMPANIES, INC.",U.S. Immigration and Customs Enforcement,contracts_with,,verified,12474,verified,108,"USAspending parent-UEI reconstruction identifies 13 unique direct ICE awards to Cornell Companies, Inc. with $35,952.20 in cumulative net award obligations; obligations are not revenue, outlays, ceilings, or annual run rate."
6372,Guidepost Solutions LLC,Julie Myers Wood,employment,2012 through at least 2014-07-02,verified,12450,verified,112,GEOs July 2014 Form 8-K states that Julie Myers Wood was then Chief Executive Officer of Guidepost Solutions after joining it in 2012.
6373,Julie Myers Wood,"The GEO Group, Inc.",advisory,from 2014-07-02,verified,12450,verified,112,"GEOs July 2014 Form 8-K states that Julie Myers Wood was appointed to GEOs board effective July 2, 2014 and to three board committees."
6374,GEO Care,Thomas D. Homan,advisory,,verified,12505,verified,112,"Homan's certified 2025 OGE Form 278e lists GEO Care as a source of more than $5,000 in annual compensation for consulting services during the reporting period; exact amount, dates, scope, and legal entity suffix are not disclosed."
6375,Guidepost Solutions LLC,Thomas D. Homan,advisory,,verified,12505,verified,112,"Homan's certified 2025 OGE Form 278e lists Guidepost Solutions LLC as a source of more than $5,000 in annual compensation for consulting services during the reporting period; exact amount, dates, and scope are not disclosed."
6376,Thomas D. Homan,U.S. Immigration and Customs Enforcement,employment,2017-01-30 to 2018-06-30,verified,12511,verified,112,Trump appointed Homan acting ICE director in January 2017.
6377,Second Trump Administration,Thomas D. Homan,employment,2025-01-20 to present,verified,12511,verified,112,The White House identifies Homan as White House Border Czar.
6378,David J. Venturella,"The GEO Group, Inc.",employment,2012 to 2023,verified,12506,verified,112,ICE's official biography states Venturella was a GEO Group senior vice president from 2012 through 2023.
6379,David J. Venturella,U.S. Immigration and Customs Enforcement,employment,current as of 2026-07-13,verified,12506,verified,112,"ICE's current leadership page identifies Venturella as Senior Official Performing the Duties of the Director as retrieved July 13, 2026; exact appointment date is not stated."
6380,Pamela Bondi,"The GEO Group, Inc.",advisory,2019-Q3,verified,12507,verified,112,"Ballard Partners' Q3 2019 GEO lobbying report names Bondi as a lobbyist on immigration, homeland-security, and criminal-justice issues."
6381,Pamela Bondi,Trump administrations,political,"2016 to present, in distinct roles",verified,12507,verified,112,The LDA filing reports Bondi's 2016-2017 transition and 2017 opioid-commission roles; DOJ says she joined the White House in 2019 and became attorney general in 2025.
6382,Justin J. Sayfie,"The GEO Group, Inc.",advisory,2019-Q3,verified,12508,verified,112,Ballard Partners' Q3 2019 GEO lobbying report names Sayfie as a lobbyist.
6383,Justin J. Sayfie,President's Commission on White House Fellowships,political,2018 to 2019,verified,12508,verified,112,"Trump announced his intent to appoint Sayfie to the commission, and the later LDA filing identifies Sayfie as a commissioner."
6384,Christopher LaCivita Jr.,"The GEO Group, Inc.",advisory,2025-08-13 to 2026-05-04,verified,12710,verified,112,"The Checkmate/GEO LDA filings name Christopher LaCivita Jr. as a lobbyist on detention-center-contract issues; they do not name a GEO task, meeting, or official."
6385,Chris LaCivita,Donald J. Trump 2024 campaign,political,2024,verified,12710,verified,112,"The Trump campaign identified Chris LaCivita (the father, not Christopher LaCivita Jr.) as a senior campaign adviser."
6386,David J. Venturella,"The GEO Group, Inc.",advisory,2023-02-01 to 2025-01-31,verified,12537,verified,112,Filed consultant agreement to assist GEO proposals for new projects and renewals of existing contracts; initial term 2023-02-01 through 2025-01-31 unless extended in writing.
6387,"The GEO Group, Inc.",Trump 2026 OGE disclosure household,financial,2025 through 2026-03-04,verified,12516,verified,111,Official 2026 OGE annual and transaction reports disclose a household-reportable GEO security interest and transactions; the public forms do not identify which covered household member owned or directed them.
6388,"The GEO Group, Inc.",U.S. Customs and Border Protection,contracts_with,2015-01-01 through 2026-07-13,verified,12531,verified,110,The corrected DHS action ledger identifies 54 direct CBP prime-contract actions across 10 awards to GEO parent UEI JMLKZZ1NL2Z6 in the 2015-2026 window; action obligations are not revenue or ceiling value.
6389,Checkmate Government Relations,White House Office,political,2026-Q1,verified,12509,verified,112,Checkmate amended GEO lobbying filings list the White House Office as an institutional contact; the filing does not identify an individual contacted person or meeting.
6390,ICE Presidential Transition Office response,Matthew T. Albence,employment,2017-01,verified,12510,verified,112,"The official ICE transition packet names Albence as an agency subject-matter expert clearing the response; this was an agency-side professional role, not evidence of transition-team membership."
6391,ICE Presidential Transition Office response,Thomas D. Homan,employment,2017-01,verified,12510,verified,112,"The official ICE transition packet names Homan as an agency subject-matter expert clearing the response; this was an agency-side professional role, not evidence of transition-team membership."
6392,Daniel Ragsdale,ICE Presidential Transition Office response,employment,2017-01,verified,12510,verified,112,"The official ICE transition packet names Ragsdale as the agency approving official for the response; this was an agency-side professional role, not evidence of transition-team membership."
6393,"Homeland Strategic Consulting, LLC",Thomas D. Homan,employment,2018-07 through 2024-12,verified,12527,verified,112,Homan reported serving as president through December 2024. The public form has a separate Strategic-versus-Security name inconsistency that prevents merging every plan or dormancy entry into this legal-name node.
6394,Ballard Partners,"The GEO Group, Inc.",advisory,2019-Q3,verified,12507,verified,112,"Ballard Partners filed a 2019 GEO lobbying account on immigration, homeland-security, and criminal-justice issues; institutional contact fields do not identify which lobbyist contacted which office."
6395,Ballard Partners,Pamela Bondi,employment,2019-Q3,verified,12507,verified,112,Ballard Partners GEO lobbying filing names Bondi as a lobbyist; this edge identifies the registrant-person relationship and does not establish a particular government contact.
6396,Ballard Partners,Justin J. Sayfie,employment,2019-Q3,verified,12508,verified,112,Ballard Partners GEO lobbying filing names Sayfie as a lobbyist; this edge identifies the registrant-person relationship and does not establish a particular government contact.
6397,Checkmate Government Relations,Christopher LaCivita Jr.,employment,2025-08-13 through 2026-05-04,verified,12710,verified,112,"Checkmate identifies Chris LaCivita Jr. as Public Affairs Director, and the GEO LDA filings name Jr. as a lobbyist; this is not his father, Trump campaign adviser Chris LaCivita."
6398,Ballard Partners,Department of Homeland Security,political,2019-Q3,verified,12507,verified,112,"The Ballard GEO lobbying filing lists DHS as an institutional contact; it does not identify a named official, meeting, or procurement intervention."
6399,Ballard Partners,White House Office,political,2019-Q3,verified,12507,verified,112,"The Ballard GEO lobbying filing lists the White House Office as an institutional contact; it does not identify a named official, meeting, or procurement intervention."
6408,Chris LaCivita,Christopher LaCivita Jr.,familial,,verified,12710,verified,112,Axios identifies Chris LaCivita Jr. as campaign co-manager Chris LaCivita's son; the Senate LDA and Checkmate team page identify Jr. as the GEO lobbyist and Checkmate Public Affairs Director.
