evidence_id,finding_id,verification_status,source_cluster,role_or_boundary,edge_state,h1_visibility_failure,h0_ordinary_structure,diagnosticity,disconfirming_effect,decisive_record,boundary
F12911,12911,verified,dhs_sow,contracting_coordinator,"CSI prime is responsible for teaming partners and subcontractors",neutral,consistent,non_diagnostic,"The SOW expressly anticipates ordinary delegation beneath one accountable prime","Teaming agreements, subcontract-consent file, and COR administration record","Responsibility rule does not name current operators or vendors"
F12912,12912,verified,house_letter_reporting_derived,part_121_operator,"House letter calls GlobalX a CSI subcontractor and gives a 74% ICE share",inconsistent,consistent,weakly_diagnostic_against_h1,"A downstream carrier identity is publicly named",CSI response and attached subcontract/monthly flight counts,"The assertion expressly relies on media reports and is not primary flight or contract evidence"
F12976,12976,verified,globalx_sec,part_121_operator,"GlobalX -> CSI -> U.S. government is direct/current through 2026",inconsistent,consistent,diagnostic_against_h1,"The current direct carrier-coordinator edge is publicly disclosed","GlobalX-CSI agreement, customer schedule, and CSI vendor ledger","The statement does not name ICE, the BPA/call, route, tail, or crew"
F12977,12977,verified,globalx_sec,aircraft_crew_capability,"GlobalX is Part 121 and generally supplies aircraft/crew under ACMI",neutral,neutral,non_diagnostic,"Operator capability is visible but its exact CSI contract role is not","GlobalX-CSI statement of work and flight-leg records","Do not infer that every GlobalX contract uses ACMI or assign a tail/crew"
F12978,12978,verified,massachusetts_official,part_121_operator,"Eastern -> ICE is official; Eastern -> CSI unresolved",consistent,consistent,non_diagnostic,"The broken CSI edge creates a reconstruction gap, while official naming weighs against uniform concealment","Eastern agreement/order path plus ICE flight-leg records","Official state characterization, not an ICE award or CSI teaming record"
F12979,12979,verified,harbor_sec,owner,"CSI agreement to acquire Air Wisconsin and 13 CRJ200 aircraft",neutral,neutral,non_diagnostic,"Ownership/capability is visible but says nothing about ICE assignment","CSI asset register, Air Wisconsin schedules, and ICE assignment records","CRJ200 capability must remain unassigned"
F12980,12980,verified,harbor_sec,owner,"CSI-Air Wisconsin/asset transaction closed after DOT approval",neutral,neutral,non_diagnostic,"Closing confirms ownership, not mission use","Post-closing asset register and ICE task/flight records","No ICE assignment can be inferred"
F12981,12981,verified,classic_air_party_pleading,replacement_operator_package,"Replacement commitments, airworthiness certificates, OpSpecs, and teaming agreements existed but identities are redacted",consistent,consistent,non_diagnostic,"The redaction explains the public break but its legal/proprietary basis is not tested","Unredacted or segregable Tabs 91, 92b, 94, and 101 plus redaction/withholding basis","Party pleading quoting the administrative record; not a merits holding"
R-SOW-PREFLIGHT,,report_derived,dhs_sow,aircraft_crew_assignment,"ICE requires aircraft registration, crew identification, and qualifications before departure",consistent,consistent,non_diagnostic,"Authoritative assignment records should exist internally but ordinary operational/security handling can limit public release","FY2026 call 70CDCR26FC0000001 preflight/flight-leg records with carrier certificate and N-number","Request identity-neutral records; do not seek personal crew identifiers"
R-ZERO-TAILS,,report_derived,lead_62730_matrix,aircraft_owner_assignment,"Zero confirmed current CSI/ICE tails and zero named crews",consistent,consistent,non_diagnostic,"Absence in the reviewed public record fits both hypotheses","Flight-leg/preflight records and segregable Round-4 aircraft list","Fleet ownership, capacity compatibility, and operating authority are not assignment"
