source_or_channel,query_or_scope,cutoff,result_count,identity_or_scope_review,disposition,limitation,archive
"Guidepost current post sitemap","Homan exact URL screen","2026-07-14",2,"Both pages are media items attributed to John Torres","No Homan profile or project/personnel page","Current sitemap does not prove historical absence","investigations/geo-group/sources/2026-07-14-lead-59112/web/guidepost-post-sitemap.xml"
"Guidepost current people sitemap","Homan exact URL screen","2026-07-14",0,"No Homan people URL","No current public Guidepost staff/profile evidence","A sitemap can omit unindexed or removed pages","investigations/geo-group/sources/2026-07-14-lead-59112/web/guidepost-our-people-sitemap.xml"
"Wayback CDX","guidepostsolutions.com/*homan*; 2023-2025","2026-07-14",0,"No returned capture rows","Not used as proof of historical absence","Wayback coverage and wildcard API availability are incomplete","investigations/geo-group/sources/2026-07-14-lead-59112/web/wayback-guidepost-homan-2023-2025.json"
"CourtListener/RECAP","Thomas Homan + Guidepost Solutions + B.I. Incorporated","2026-07-14",0,"Zero exact RECAP-document hits","No public court bridge located","RECAP is contribution-dependent and sealed/unindexed records are outside the result","investigations/geo-group/sources/2026-07-14-lead-59112/courtlistener/cl-rd-homan-guidepost-bi.json"
"CourtListener/RECAP","Guidepost Solutions + B.I. Incorporated","2026-07-14",0,"Zero exact RECAP-document hits","No public agreement/invoice/recusal pleading located","RECAP is contribution-dependent and exact wording can miss variants","investigations/geo-group/sources/2026-07-14-lead-59112/courtlistener/cl-rd-guidepost-bi.json"
"CourtListener/RECAP","Thomas Homan + GEO Care","2026-07-14",2,"Both hits are 2016 Flores materials unrelated to consulting compensation","Rejected as nonresponsive","Search terms occur in a long committee report; they do not create a payment link","investigations/geo-group/sources/2026-07-14-lead-59112/courtlistener/cl-rd-homan-geocare.json"
"Senate LDA","Homeland Strategic Consulting","2026-07-14",0,"No client filing","No lobbying payment route","LDA is not a general consulting-payment database","investigations/geo-group/sources/2026-07-14-lead-59112/lobbying/lda-homeland-strategic.json"
"Senate LDA","Guidepost Solutions","2026-07-14",0,"No client filing","No lobbying payment route","LDA is not a general consulting-payment database","investigations/geo-group/sources/2026-07-14-lead-59112/lobbying/lda-guidepost.json"
"Senate LDA","GEO Care","2026-07-14",4,"All four exactish rows are 2016 Capitol Counsel filings for Navigators Global on behalf of GEO Care","Outside Homan's 2023-2025 disclosure window; no Homan name","Historic lobbying is corporate context, not a consulting-payment bridge","investigations/geo-group/sources/2026-07-14-lead-59112/lobbying/lda-geo-care.json"
"FARA","Thomas Homan","2026-07-14",0,"Empty registrant and foreign-principal arrays","No FARA link","CLI prints one for empty response containers; payload used (papercut #818)","investigations/geo-group/sources/2026-07-14-lead-59112/lobbying/fara-homan.json"
"FARA","Guidepost Solutions","2026-07-14",2,"One terminated registrant row and one Marshall Islands principal row; 2018-2021","Unrelated to Homan, B.I., and the 2023-2025 service period","Registration does not identify every Guidepost client or employee","investigations/geo-group/sources/2026-07-14-lead-59112/lobbying/fara-guidepost.json"
"USAspending primes","Guidepost Solutions","2026-07-14",6,"Six entity-level prime awards; none name Homan, B.I., GEO Care, ICE, or DHS in the returned descriptions","No personnel or private B.I.-engagement bridge","Award descriptions do not enumerate all personnel or private clients","investigations/geo-group/sources/2026-07-14-lead-59112/contracts/usaspending-guidepost-awards.json"
"USAspending primes","Homeland Strategic Consulting","2026-07-14",0,"Zero prime awards","No federal-prime payment route","Does not cover private consulting payments","investigations/geo-group/sources/2026-07-14-lead-59112/contracts/usaspending-homeland-strategic-awards.json"
"USAspending subawards","Homeland Strategic Consulting recipient-name query","2026-07-14",null,"Wrapper returned 100 unrelated nationwide rows and zero exact text matches","Excluded from coverage conclusion","Recipient filter is broken; papercut #978","not archived as valid search evidence"
"SAM bulk","Homeland Strategic Consulting and Thomas Homan","2026-07-14",0,"Zero entity and exclusion matches for each query","No federal registration route","SAM registration is not required for private consulting","investigations/geo-group/sources/2026-07-14-lead-59112/contracts/sam-bulk-homeland-strategic.json"
"Unified registry","Homeland Strategic Consulting","2026-07-14",0,"No row in covered local jurisdictions","No registry conclusion","Virginia is not covered by the local unified registry and the official SCC interactive search remains the authoritative route","investigations/geo-group/sources/2026-07-14-lead-59112/registry/registry-homeland-strategic.json"
