"row_id","evidence_stream","lead_ids","finding_ids","verification_gate","primary_source_contexts","independence_dependency","metric_type","chronology","directional_reading","h1_material_access_effect","h0_policy_mechanics_effect","cannot_support","overall_diagnostic_note","aggregate_expansion_axis","vendor_selection_terms_axis","phase_status","durable_artifacts"
"D11","Checkmate detention-lobbying nexus test","59358","12710;12718;12719;12720;12721;12722;12723","verified only","Senate LDA; White House order; Public Law 119-21; DHS APFS; USAspending; bounded contact search","The six LDA filings are one engagement series; policy and procurement records are independent; contact negatives are coverage-bounded","engagement income, issue scope, vehicle lead time, policy chronology","engagement August 13, 2025 to May 4, 2026; policy, appropriation, and key base tasks predated it","H0-consistent and comparatively diagnostic","Only broad detention-contract wording overlaps the expansion window","No DHS or ICE entity field, no named procurement, all detention base actions on older parents, and policy/funding predated engagement","Unpublished work descriptions or contacts; impossibility of award-specific work","high-medium","medium H0-consistent; policy and base-task chronology predated engagement","medium-high H0-consistent; no named procurement and older parents","complete input","2026-07-13-checkmate-geo-procurement-nexus.md;2026-07-13-checkmate-geo-procurement-lead-times.csv;2026-07-13-checkmate-geo-public-contact-source-audit.json"
"D12","Trump household-reportable GEO securities","58874","12514;12515;12516","verified only; unverified #12517-#12518 excluded","presidential OGE annual and periodic transaction disclosures","Annual holdings and transaction rows are one household disclosure series; they are independent of GEO and procurement records but do not name the family member","asset stock, transaction range, dividend range","ten purchases and four sales during 2025; additional March 4, 2026 purchase","H1-consistent conflict exposure; weakly diagnostic","Creates a direct household-reportable financial interest during the expansion period","OGE household aggregation and absent trade-decision attribution permit passive or family-managed investment explanations","Donald Trump's personal beneficial ownership, trade decision maker, inside information, or any contract decision","low","neutral","neutral; household owner and trade decision maker unknown","complete input","2026-07-13-trump-geo-investment-ownership-report.md;2026-07-13-trump-geo-holdings-relationship-matrix.csv"
"D13","Political payer versus direct awardee entity split","57788;59037","12766;12767;12752;12753;12756;12757;12758;12759","verified only; retracted #12751 excluded","FEC recipient records; SEC subsidiaries; MUR 7180; bounded SAM and USAspending exact-name checks","FEC rows overlap D01-D02; SEC and MUR add independent legal-structure context; current SAM is not historical","legal-entity identity, payment flow, direct-award match","payer rotates from GCH in 2016 to Acquisition II in 2024-early 2025 to Reentry in late 2025","H0-consistent on legal separation; neutral on selection","Repeated subsidiary payer choice could be relevant if internal records show award-status review","REIT and subsidiary structure, distinct payer names, and no exact direct-award match support ordinary legal/accounting separation","Avoidance purpose, bank-account owner, historical contractor status, or procurement influence","medium for payer rule; low for overarching selection","neutral","low H0-consistent on legal-entity separation; no internal purpose record","complete input","2026-07-14-lead-57788-political-payer-federal-awardee-crosswalk.md;2026-07-14-lead-57788-political-payer-federal-awardee-crosswalk.json;2026-07-14-lead-57788-source-coverage-manifest.json"
"D14","Public policy and budget surge","59358;57701","12721;12869","verified only","White House January 20, 2025 order; Public Law 119-21","Executive direction and enacted appropriation are independent government policy records; reused in D04 and D11 and counted once as one policy-budget context","policy directive and appropriated capacity funding","order January 20, 2025; $45bn detention-capacity appropriation July 4, 2025","H0-consistent and highly diagnostic for aggregate demand; neutral on vendor selection","Does not exclude political preference within implementation","Supplies a public, sector-wide demand and funding mechanism before Checkmate and many later actions","Which vendor ICE selected, whether specifications were tailored, or whether access affected implementation","high for expansion; low for vendor choice","high H0-consistent for aggregate demand","not applicable to vendor choice by itself","complete input","2026-07-13-checkmate-geo-procurement-nexus.md;2026-07-14-lead-57701-source-coverage-manifest.json"
"D15","GEO FY2025-FY2026 action mechanisms","57842","12875;12876;12877","verified only; retracted #12872-#12874 excluded","215 exact-matched USAspending actions; parent-IDV snapshots","All findings derive from one transaction denominator and deterministic calculations; action types are independent of company political disclosures","transaction obligation, official action type, timing concentration, deobligation share","FY2025 and FY2026 through July 9; same-elapsed growth +25.1369%","H0-consistent and highly diagnostic for measured mechanics","Large obligation clusters could still be policy-selected, but no political mechanism appears in action descriptions","Funding-only and initial tasks dominate; January cluster defeats fiscal-year-end-only account; deobligations are too small to create growth","Service demand, occupancy, revenue, selection rationale, or political causation","high for mechanics; medium for H1/H0","high H0-consistent for observed obligation mechanics","neutral; action types do not explain selection","complete input","2026-07-14-lead-57842-geo-fy25-fy26-action-report.md;2026-07-14-lead-57842-geo-fy25-fy26-action-calculations.json;2026-07-14-lead-57842-geo-fy25-fy26-source-manifest.json"
"D16","GEO ICE revenue-obligation bridge","57844","12862;12863;12864;12865","verified only; unverified #12414 excluded","GEO 10-K; canonical USAspending action ledger; IGSA and state-payment records","SEC revenue and federal obligations are independent source systems but incompatible accounting metrics; arithmetic differences are derived, not an independent context","recognized revenue, action-date obligation, program share, different-metric ratio","calendar 2025 with FY and payment-period boundaries kept separate","H0-consistent boundary; neutral on political selection","Large business expansion is economically material","Direct obligations explain only a different-metric context; IGSA, timing, and local-prime channels prevent a hidden-spending inference","Cash received, profit, attributable residual, facility economics, or political cause","high as metric boundary; low causal","boundary only; prevents false financial residual","not applicable","complete input","2026-07-14-lead-57844-geo-ice-revenue-bridge.md;2026-07-14-lead-57844-geo-ice-revenue-bridge.json;2026-07-14-lead-57844-geo-ice-revenue-source-manifest.json"
"D17","CoreCivic peer acceleration","58082","12444;12445;12448;12775;12778","verified only","USAspending direct ICE actions; CoreCivic SEC activation disclosures","Federal actions and peer-company disclosures are independent; facility and fiscal calculations share the same CoreCivic denominator","peer obligation growth, facility decomposition, activation timing","FY2024 to FY2025; +$126.324m direct ICE; 59.33% from California City and Midwest","H0-consistent and highly diagnostic against a GEO-only explanation","Does not exclude access affecting GEO or CoreCivic separately","Shows a non-GEO peer expanded sharply through new activations and legacy-facility growth during the same policy surge","Sector-adjusted selection fairness, comparable lobbying intensity, or political neutrality of each award","high against GEO-specific aggregate cause","high H0-consistent against a GEO-only aggregate explanation","neutral; peer surge does not explain GEO selection","complete input","2026-07-14-lead-58082-corecivic-ice-acceleration.md;2026-07-14-lead-58082-corecivic-facility-decomposition.csv;2026-07-14-lead-58082-corecivic-ice-source-manifest.json"
"D18","CoreCivic California City urgency and ready-capacity route","58082","12774;12776;12777","verified only","USAspending award fields; FAR; CoreCivic 10-K; bounded acquisition-file search","Award fields and company activation records are independent; missing-file result is bounded; revenue and obligations are different metrics","competition method, urgency authority, activation readiness, revenue and obligation boundary","letter contract April 2025; intake August; definitization September 26 for two-year ordering period","mixed; procurement discretion exists, but peer case favors capacity mechanism","Shows ICE could use extraordinary procurement discretion during the surge","Existing idled 2,560-bed capacity and four-month activation provide a concrete operational explanation; same route benefited a peer","Adequacy of J&A, alternatives, price reasonableness, favoritism, or occupancy-based value","high for readiness and discretion; neutral on GEO access","medium H0-consistent on ready-capacity activation","neutral non-GEO control for GEO-specific choice","complete input with acquisition-file gap","2026-07-14-lead-58082-corecivic-ice-acceleration.md;2026-07-14-lead-58082-corecivic-ice-source-manifest.json"
"D19","California negotiated competition and constrained practical pool","58084","12852;12853;12854","verified only","SAM solicitation archive; USAspending award fields; signed modifications","Solicitation and award records are independent of company political evidence; two award rows share one acquisition; one-offer fields cannot be aggregated across requirements","competition structure, bidder constraints, readiness, price and occupancy gaps","2019 solicitation and awards with later task/modification record through 2026","H0-consistent and diagnostic for incumbent/readiness mechanism","Could remain H1-consistent if missing source-selection files show tailoring, but current record does not","Full-and-open multiple-award structure coexisted with tight geography, existing-facility, 250-bed, 60-day readiness, and past-performance constraints","Improper tailoring, total proposal count, comparative prices, actual occupancy, or political intervention","high for practical-pool mechanism; medium overall","medium H0-consistent on constrained incumbent pool","medium H0-consistent; missing source-selection and price files limit weight","complete input","2026-07-14-lead-58084-california-detention-competition.md;2026-07-14-lead-58084-california-detention-competition-comparison.json;2026-07-14-lead-58084-california-detention-competition-source-manifest.json"
"D20","Inspection and death-review denominator","61953","12846;12847;12848;12849;12850;12851;12861","verified only","78 ICE inspection events; 24 death records; 161 official URLs and 160 hashes","Inspection events are multiple facility/time contexts but share ICE's inspection system; death reviews are a separate evidence class; repeated components are not independent causal findings","overall grade, component deficiency, repeat language, corrective language, death-review caveat","2017-2024 inspection and death-review records","neutral; establishes oversight facts but not selection mechanism","Persistent deficiencies alongside compliant grades could be consistent with weak consequences","Explicit zero/no-finding controls, conditional readiness, corrective actions, and causation caveats prevent a one-direction account","Applied remedies, CPARS effect, source-selection treatment, death causation, or political insulation","low until joined to decision records","neutral oversight denominator","neutral; no applied selection consequence in these artifacts","complete input","2026-07-14-lead-61953-geo-ice-inspection-death-review-report.md;2026-07-14-lead-61953-geo-ice-inspection-death-coverage.csv;2026-07-14-lead-61953-geo-ice-inspection-death-source-manifest.json"
"D21","Performance consequences and later contract continuity","57784;57970","12422;12425;12426;12427;12428;12818;12819;12820;12821;12822;12823","verified only; related unverified and retracted 57970 rows excluded","DHS OIG; ICE ODO; Oversight.gov; USAspending; signed modification","OIG, ODO, and USAspending are distinct record types but facility sequences are chronologically linked; later funding is not independent evidence of why a remedy occurred","remedy, recommendation status, capacity action, extension, funding","2019-2026 facility sequences","mixed and currently non-diagnostic","Folkston non-enforcement and Northwest expansion after unresolved/repeat issues are consistent with an insulation concern","Closed recommendations, vendor-paid overtime, comparator penalties, later no-findings inspections, and ordinary capacity actions support normal remedial variation","That politics caused non-enforcement, that no private remedy occurred, or that later funding ignored performance","medium-low","mixed and low diagnostic weight","mixed and low diagnostic weight; decision records absent","complete input with decision-record gap","2026-07-14-lead-57784-geo-ice-performance-consequence-report.md;2026-07-14-lead-57784-geo-ice-performance-consequence-matrix.csv;2026-07-14-lead-57784-geo-ice-performance-consequence-manifest.json"
"D22","ICE air-transport prime-to-subcontract channel","57836","12892;12893;12894;12895;12899;12901;12906;12907;12909;12910;12911;12912","verified only; all superseded/retracted air findings excluded","GEO SEC filing; DHS SOW and released procurement records; USAspending; Court of Federal Claims termination records; House oversight letter","GEO's subcontract disclosure and federal prime records are complementary; order snapshots share one prime denominator; Salus findings #12914/#12916 are split to D23 and not counted for the GTI chain","prime ceiling, order obligation and outlay stocks, subcontract revenue forecast, lifecycle correction, subaward coverage","emergency GTI subcontract July 2023; five-year CSI prime and GTI subcontract from March 2024; termination April 2025; reinstatement June 2025","H0-consistent channel and contest mechanics; neutral on political access","Shows GEO expanded through an ICE air-support subcontract during the Trump/DHS surge","GSA FSS to ICE BPA to CSI prime to GTI subcontract separates prime authority from GEO economics; termination and reinstatement show contest and correction mechanics","GTI's realized revenue, share of $3.6bn/$1.5bn/$837.61m prime metrics, option exercise, public subaward payments, why CSI or GTI was selected, or political influence","high for channel and metric boundary; medium overall","medium H0-consistent on channel and contest mechanics","neutral; chain does not explain why CSI or GTI was chosen","complete input","2026-07-14-lead-57836-geo-ice-air-transport-chain.md;2026-07-14-lead-57836-geo-ice-air-transport-chain-matrix.json;2026-07-14-lead-57836-geo-ice-air-transport-source-manifest.json"
"D23","CSI ICE Air P00005 reinstatement and protest-resolution chronology","62732","12926;12928;12929;12930;12934","verified only; retracted predecessor #12927 excluded","ICE FOIA approval trackers; Court of Federal Claims order, joint filing, dismissal, and judgment; USAspending raw IDV transaction history","ICE, court, and USAspending records are distinct primary-source families but describe one linked procurement sequence; settlement timing and reinstatement timing are not independent proof of causation","internal approval status, litigation posture, administrative-action obligation, ordering-period end date","reinstatement review submitted May 7, 2025; still in review June 5; implementation proposal June 12; dismissal June 24; P00005 June 25","H0-consistent procedure and continuity mechanics; causal direction neutral","No political-access actor, contact, request, or intervention appears in the accepted records; the undisclosed final approval path remains a testable gap rather than H1 evidence","A documented ICE approval process, protest settlement sequence, and zero-obligation administrative reinstatement can explain continued vehicle availability without an observed political intervention","That the settlement proposal was P00005; any exchange, payment, release, or waiver; final approver or rationale; unchanged ceiling, rates, scope, team, or GEO Transport terms; why CSI or GTI was retained","high for chronology and public action fields; low for causal inference","low-medium H0-consistent on documented continuity mechanics; not an aggregate-demand explanation","neutral; the final selection rationale, approver, signed terms, and settlement instrument are unavailable","complete input accepted by root","2026-07-14-lead-62732-csi-air-p00005-reinstatement.md;2026-07-14-lead-62732-csi-air-p00005-reinstatement-timeline.json;2026-07-14-lead-62732-csi-air-p00005-reinstatement-source-manifest.json"
"D24","Salus CSRO non-GEO court control","57836","12914;12916","verified only; retracted predecessor findings excluded","reported Court of Federal Claims opinion in separate DHS removal-operations procurement","Independent non-GEO procurement context; not evidence for or against the CSI-to-GTI subcontract chain and not corroboration of GEO selection","court-recited chronology and no-bad-faith holding","Salus proposal January 23, 2025 after Trump immigration executive orders; later court review","neutral and not applicable to GEO-specific selection","None for GEO; the record contains no GEO or GTI link","None for GEO; a no-bad-faith holding in another procurement cannot validate the GTI chain","Any conclusion about GEO access, CSI selection, GTI subcontracting, or GEO award terms","neutral non-GEO control","neutral non-GEO control","not applicable to GEO selection","complete input","2026-07-14-lead-57836-geo-ice-air-transport-chain.md;2026-07-14-lead-57836-geo-ice-air-transport-source-manifest.json"
"D25","State/local payer, recipient, and reconciliation records","59033","12935;12936;12937;12938","verified only; retracted #12917-#12925 and #12931-#12933 excluded","Florida recipient-side campaign-finance records; FEC payer-side GEO PAC filings; GEO company reports; Florida office and policy records; Georgia PeachFile recipient records","Florida and Georgia are separate jurisdictional filing contexts; FEC and state rows can describe the same PAC payment and are not double-counted; company reports are a comparison series; the Albritton payment and policy record form one timing synthesis, not proof of influence","filed payer identity, recipient, gross positive and signed net, coverage residual, office and policy timing","2024-2025 priority comparison; Albritton payment February 18, 2025, 22 days after the January 27 policy proposal","mixed low-weight adjacency and ordinary-practice evidence; no causal bridge","Names state recipients and places one $20,000 corporate payment 22 days after an official immigration-policy proposal under the recipient officeholder's legislative leadership","The 2025 GEO PAC total reconciles exactly to gross-positive payer filings; Florida and Georgia differences are bounded coverage or category residuals; filed parent-payer rows in two states cut against an across-the-board direct-awardee-avoidance rule","Any request, contact, intervention, favorable act, procurement authority, federal award effect, exact bank account, internal payer-selection rule, or a complete all-state recipient universe","medium-high for filed payer and reporting mechanics; low for causal inference","mixed low diagnostic weight; shows political adjacency but does not explain aggregate federal growth","neutral; state recipient and filed payer records do not identify a federal vendor or facility selection decision","complete input accepted by root","2026-07-14-lead-59033-geo-state-local-political-payments-report.md;2026-07-14-lead-59033-geo-state-local-political-ledger.csv;2026-07-14-lead-59033-geo-state-local-reconciliation.json;2026-07-14-lead-59033-geo-state-local-finding-support.json;2026-07-14-lead-59033-geo-state-local-manifest.json"
