record_id,date,vehicle,document_or_clause,authenticated_actor,record_type,amount_usd,claim_or_rule,disposition,evidentiary_limit,source_ref
T09,2018-06-21,EROIGSA-11-0003,Adelanto denial,ICE contracting officer,agency final response,139059.96,no constructive change; fixed-price risk; fees not cognizable; inadequate support,denied in entirety,"denial not merits adjudication by board/court",ICE-FOIA:2018-ICLI-00052#6059-6061
T10,2018-07-09,multi-vehicle,Edge response,ICE,agency response,,confirmed denials; DOJ points of contact provided,final response sent,"contact referral is not DOJ representation/decision",ICE-FOIA:2018-ICLI-00052#6062
T11,2018-07-23,multi-vehicle,ICE counsel circulation email,ICE,agency communication,,denials and Edge response described as final and sent,finality corroborated,"does not establish later history",ICE-FOIA:2018-ICLI-00052#6053
C01,2011-09-15,HSCEDM-11-D-00003,FAR 52.243-1 Alternate I,ICE/GEO,incorporated clause,,written fixed-price changes/equitable adjustment mechanism,governs request theory,"full clause incorporated by reference",RECAP:Menocal-DE262-2#contract-p85
C02,2011-09-15,HSCEDM-11-D-00003,FAR 52.233-1,ICE/GEO,incorporated clause,,Disputes/CDA route,identified in denial,"does not prove GEO used route",RECAP:Menocal-DE262-2#contract-p85
C03,2011-09-15,HSCEDM-11-D-00003,FAR 52.237-7,ICE/GEO,incorporated clause,,medical liability insurance 2m per specialty/per occurrence; 6m aggregate,medical-only insurance,"not general litigation defense indemnity",RECAP:Menocal-DE262-2#contract-p85
C04,2015-09-24,HSCEDM-15-D-00015,G.1.1 Contracting Officer Authority,ICE/GEO,contract clause,,only CO may approve changes; unauthorized change receives no adjustment,written modification required,"supports process not outcome by itself",RECAP:Washington-DE16-1#pdf-98
C05,2015-09-24,HSCEDM-15-D-00015,PWS G Hold Harmless,ICE/GEO,contract clause,,contractor responsible for all litigation including cost for alleged acts/omissions; cooperation on request,allocates litigation responsibility to contractor,"clause scope tied to alleged acts/omissions",RECAP:Washington-DE16-1#pdf-53-54
C06,2015-09-24,HSCEDM-15-D-00015,G.3 invoices,ICE/GEO,contract clause,,unsupported/out-of-scope/non-current-rate charges improper and returned,payment documentation rule,"not evidence any invoice was submitted",RECAP:Washington-DE16-1#pdf-98-100
C07,2015-09-24,HSCEDM-15-D-00015,H.5 Indemnification,ICE/GEO,contract clause,,contractor indemnifies Government for specified loss/injury/property claims; Government liability limited,indemnity runs contractor to Government,"not a government defense promise",RECAP:Washington-DE16-1#pdf-102-103
C08,2018-04-18,EROIGSA-11-0003,Article X Modifications and Disputes,ICE/GEO,IGSA clause,,written CO modification; equitable adjustment for written change order; written dispute route,governs request theory,"filed copy includes P00010 language",RECAP:Novoa-DE193-2#pdf-42-43
C09,2018-04-18,EROIGSA-11-0003,Article XI Adjusting Bed Day Rate,ICE/GEO,IGSA clause,,ordinary rate changes prospective; no retroactive adjustment,prospective rate mechanism,"distinct from Article X change-order claim",RECAP:Novoa-DE193-2#pdf-43
C10,2018-04-18,EROIGSA-11-0003,Article III.C unallowable costs,ICE/GEO,IGSA clause,,legal fees for prosecution of claims against Government and detainee legal expenses listed unallowable,cost allowability rule,"does not textually enumerate every private-defense fee",RECAP:Novoa-DE193-2#pdf-8
C11,2018-04-18,EROIGSA-11-0003,Article XIV Hold Harmless,ICE/GEO,IGSA clause,,first page absent from filed exhibit,not assessed,"source gap; no inference",RECAP:Novoa-DE193-2#missing-contract-p44a
