event_id,case,event_date,date_precision,milestone_type,procedural_posture,adversity_class,facility,match_status,source_artifacts,source_finding_ids,event_note,control_eligibility,nearest_action_date,nearest_action_days_signed,nearest_action_days_absolute,nearest_action_award_id,nearest_action_parent_award_id,nearest_action_modification_number,nearest_action_type,nearest_action_obligation,pre90_exposure_days,post90_exposure_days,pre90_count,pre90_net,pre90_positive_mean,pre90_base_count,pre90_positive_mod_count,pre90_deob_count,pre90_zero_mod_count,pre90_option_extension_count,pre90_award_ids,pre90_action_mix,post90_count,post90_net,post90_positive_mean,post90_base_count,post90_positive_mod_count,post90_deob_count,post90_zero_mod_count,post90_option_extension_count,post90_award_ids,post90_action_mix,pre180_exposure_days,post180_exposure_days,pre180_count,pre180_net,pre180_positive_mean,pre180_base_count,pre180_positive_mod_count,pre180_deob_count,pre180_zero_mod_count,pre180_option_extension_count,pre180_award_ids,pre180_action_mix,post180_count,post180_net,post180_positive_mean,post180_base_count,post180_positive_mod_count,post180_deob_count,post180_zero_mod_count,post180_option_extension_count,post180_award_ids,post180_action_mix,observed_count_difference,observed_net_difference,permutation_candidate_days,permutation_p_count_raw,permutation_p_count_holm,permutation_p_net_raw,permutation_p_net_holm,permutation_p_proximity_raw,permutation_p_proximity_holm
menocal-scotus,GEO Group v. Menocal,2026-02-25,day,Supreme Court appealability judgment,Yearsley held a merits defense rather than immediately appealable immunity; underlying liability not decided,adverse_appellate_procedural,Aurora Contract Detention Facility,facility_matched,lead-59489 report and matrix,12551,,eligible: equal 90-day pre/post windows,2026-02-11,-14,14,70CDCR25FR0000111,70CDCR22D00000001,P00002,positive_modification,43875696.47000000,90,90,2,43875696.47000000,43875696.47000000,0,1,0,1,0,70CDCR25FR0000111,"{""positive_modification"": 1, ""zero_dollar_modification"": 1}",2,15119374.51000000,16914698.53000000,0,1,1,0,0,70CDCR25FR0000005|70CDCR25FR0000111,"{""deobligation_modification"": 1, ""positive_modification"": 1}",180,139,4,56982891.17000000,18994297.05666667,1,2,0,1,0,70CDCR25FR0000005|70CDCR25FR0000111,"{""base_task_order_or_call"": 1, ""positive_modification"": 2, ""zero_dollar_modification"": 1}",2,15119374.51000000,16914698.53000000,0,1,1,0,0,70CDCR25FR0000005|70CDCR25FR0000111,"{""deobligation_modification"": 1, ""positive_modification"": 1}",0,-28756321.96000000,993,1.00000000,1.00000000,0.09154930,0.91549296,0.78772636,1.00000000
menocal-renewed-motion,Menocal v. GEO,2026-04-06,day,renewed dispositive motion,GEO filed renewed partial-summary-judgment/judgment-on-pleadings motion; case active,company_challenge_pending,Aurora Contract Detention Facility,facility_matched,lead-59489 report and matrix; lead 59578,,,eligible: equal 90-day pre/post windows,2026-04-07,1,1,70CDCR25FR0000005,70CDCR22D00000001,P00012,deobligation_modification,-1795324.02000000,90,90,2,60790395.00000000,30395197.50000000,0,2,0,0,0,70CDCR25FR0000111,"{""positive_modification"": 2}",1,-1795324.02000000,,0,0,1,0,0,70CDCR25FR0000005,"{""deobligation_modification"": 1}",180,99,3,60790395.00000000,30395197.50000000,0,2,0,1,0,70CDCR25FR0000111,"{""positive_modification"": 2, ""zero_dollar_modification"": 1}",1,-1795324.02000000,,0,0,1,0,0,70CDCR25FR0000005,"{""deobligation_modification"": 1}",-1,-62585719.02000000,1015,0.80610236,1.00000000,0.00688976,0.08267717,0.10334646,1.00000000
menocal-current,Menocal v. GEO,2026-07-13,day,current active posture,briefing continued after remand; no final merits or damages judgment in audited snapshot,neutral_pending_posture,Aurora Contract Detention Facility,facility_matched,lead-59489 report and matrix; lead 59578,,,not tested: incomplete equal 90-day exposure,2026-04-07,-97,97,70CDCR25FR0000005,70CDCR22D00000001,P00012,deobligation_modification,-1795324.02000000,90,1,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},180,1,3,58995070.98000000,30395197.50000000,0,2,1,0,0,70CDCR25FR0000005|70CDCR25FR0000111,"{""deobligation_modification"": 1, ""positive_modification"": 2}",0,0,,0,0,0,0,0,,{},,,,,,,,,
novoa-complaint,Novoa v. GEO,2017-12-19,day,complaint,wage and forced-labor allegations filed; no final liability ruling,pleading_only,Adelanto ICE Processing Center,facility_matched,2026-07-13-courtlistener-litigation-universe.json; lead-59489 report,,,eligible: equal 90-day pre/post windows,2020-06-30,924,924,70CDCR20FR0000008,70CDCR20D00000009,P00004,positive_modification,22387.82000000,90,90,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},180,180,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},0,0,552,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
novoa-stay,Novoa v. GEO,2022-03-31,day,stay,case stayed pending related appeals and statistically terminated with status reporting,neutral_stay,Adelanto ICE Processing Center,facility_matched,lead-59489 report and matrix,12582,,eligible: equal 90-day pre/post windows,2023-12-18,627,627,70CDCR24FR0000011,70CDCR20D00000009,0,base_task_order_or_call,7100303.55000000,90,90,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},180,180,0,0,,0,0,0,0,0,,{},0,0,,0,0,0,0,0,,{},0,0,541,1.00000000,1.00000000,1.00000000,1.00000000,0.97970480,1.00000000
novoa-status,Novoa v. GEO,2026-06-15,day,status report,joint status reporting continued; no final liability ruling located,neutral_pending_posture,Adelanto ICE Processing Center,facility_matched,lead-59489 report and matrix,12582,,not tested: incomplete equal 90-day exposure,2026-06-10,-5,5,70CDCR26FR0000028,70CDCR20D00000009,P00002,positive_modification,35400000.00000000,90,29,4,76350100.00000000,19087525.00000000,0,4,0,0,0,70CDCR25FR0000009|70CDCR26FR0000028|70CDCR26FR0000031,"{""positive_modification"": 4}",0,0,,0,0,0,0,0,,{},180,29,8,136799100.00000000,17099887.50000000,2,6,0,0,0,70CDCR25FR0000009|70CDCR26FR0000028|70CDCR26FR0000031,"{""base_task_order_or_call"": 2, ""positive_modification"": 6}",0,0,,0,0,0,0,0,,{},,,,,,,,,
reid-complaint,Reid v. GEO,2024-04-29,day,complaint,medical-death allegations filed; no liability determination,pleading_only,Lawrenceville Correctional Center,facility_named_but_no_supported_DHS_action_match,2026-07-13-courtlistener-litigation-universe.json; lead-59489 report,,,not tested: zero supportably matched DHS ledger rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reid-mtd,Reid v. GEO,2025-05-15,day,motion-to-dismiss order,direct Monell theory dismissed; state negligence and gross-negligence respondeat-superior theories continued,mixed_pleading_order,Lawrenceville Correctional Center,facility_named_but_no_supported_DHS_action_match,lead-59489 report and matrix,12578,,not tested: zero supportably matched DHS ledger rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reid-federal-count-dismissed,Reid v. GEO,2026-03-23,day,partial dismissal,Count Seven dismissed against all remaining defendants; state-law exposure continued,partly_favorable_pending,Lawrenceville Correctional Center,facility_named_but_no_supported_DHS_action_match,lead-59489 report and matrix,12578,,not tested: zero supportably matched DHS ledger rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reid-summary-judgment,Reid v. GEO,2026-06-05,day,summary-judgment briefing,defense motions filed June 2-5; no final liability judgment,company_challenge_pending,Lawrenceville Correctional Center,facility_named_but_no_supported_DHS_action_match,lead-59489 report and matrix,12578,,not tested: zero supportably matched DHS ledger rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reid-settlement-conference,Reid v. GEO,2026-07-13,day,scheduled settlement conference,conference scheduled; audited report does not assume outcome,neutral_pending_posture,Lawrenceville Correctional Center,facility_named_but_no_supported_DHS_action_match,lead-59489 report and matrix,12578,,not tested: zero supportably matched DHS ledger rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hartel-complaint,Hartel v. GEO,2020-07-07,day,securities complaint,complaint filed; allegations not established,pleading_only,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report; universe JSON,,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hartel-dismissal-order,Hartel v. GEO,2021-09-23,day,pleading-stage dismissal order,one statement category survived; scienter adequately pleaded for lawsuit-cost statements; other claims dismissed,mixed_pleading_order,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report,12562;12595;12596,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hartel-final,Hartel v. GEO,2023-11-17,day,settlement and final dismissal,three-million-dollar fund; dismissal with prejudice; defendants denied liability,settlement_no_admission,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report,12577;12593;12594,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhang-complaint,Zhang v. Zoley,2021-11-12,day,derivative complaint,complaint filed; allegations not established,pleading_only,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report; universe JSON,,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhang-preliminary,Zhang v. Zoley,2024-04-16,day,preliminary settlement approval,governance terms placed before court,settlement_governance_pending,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report,,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhang-final,Zhang v. Zoley,2024-09-05,day,final settlement approval and governance reform,settlement approved and case dismissed with prejudice; no admission,settlement_governance_no_admission,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report,12584;12599;12600;12601;12602;12603;12604;12605;12606;12607;12609;12610;12611;12613,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo-bop-award,GEO Group v. United States,2011-02-16,day,award to competitor,BOP awarded Brooklyn reentry contract to Community First Services,procurement_loss,,unmatched_outside_DHS_ledger_and_or_non_DHS_case,courtlistener litigation report,12573,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo-bop-tro,GEO Group v. United States,2011-07-29,day,TRO denial,preliminary TRO denied; not a final merits adjudication,adverse_preliminary,,unmatched_outside_DHS_ledger_and_or_non_DHS_case,courtlistener litigation report,12560;12574;12592,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo-bop-dismissal,GEO Group v. United States,2011-10-27,day,voluntary dismissal,Rule 41(a) judgment dismissed complaint with prejudice,company_voluntary_dismissal,,unmatched_outside_DHS_ledger_and_or_non_DHS_case,courtlistener litigation report,12614,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texas-tax-opinion,GEO Group v. Hegar,2023-01-23,day,tax appellate judgment,sales-tax refund denial affirmed; no government-instrumentality exemption,adverse_tax_judgment,,unmatched_no_case_specific_facility_or_award_attribution,courtlistener litigation report,12586;12588;12616,,not tested: company-wide DHS actions deliberately excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mexico-tax-payment,New Mexico tax assessment,2024-07,month,tax payment disclosure,GEO reported an approximately 18.9-million-dollar payment toward estimated audited-period liability,company_disclosure,,unmatched_month_precision,courtlistener litigation report; 2025 Form 10-K,12589,,not tested: exact event day unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
